name,final,coryat,right,wrong,uid,playerid
Ken,29000,22600,27,1,61,1
Rob,900,14600,24,7,61,118
Kathi,0,400,1,2,61,117
Ken,8799,22400,29,4,62,1
Nancy,14401,10000,10,1,62,120
David,-2800,-2800,7,5,62,119
Nancy,2,7400,13,4,63,120
Nathan,199,7200,15,7,63,122
Katie,13400,14200,17,1,63,121
Katie,16801,16000,21,1,64,121
Sherri,1,10600,15,6,64,124
Josh,400,8000,16,4,64,123
Katie,0,3800,13,5,65,121
Pete,16200,13200,18,2,65,126
Kord,-800,-1200,13,12,65,125
Pete,100,9000,14,3,66,126
Dennis,25000,12600,19,3,66,128
Andy,21199,20200,26,4,66,127
Dennis,600,8800,10,4,67,128
Jackie,8700,8600,19,3,67,130
Shelley,8601,8200,16,6,67,129
Jackie,0,1400,8,5,68,130
Alex,12800,12600,20,3,68,132
Megan,19599,16400,19,1,68,131
Megan,0,19600,19,0,69,131
Karen,4950,4000,4,1,69,134
Tom,40600,18400,32,3,69,133
Tom,2800,16800,30,5,70,133
Robert,6399,16000,17,3,70,136
Colette,400,1400,4,3,70,135
Robert,27000,21000,29,2,71,136
Snow,3000,7600,12,4,71,138
David,3999,8400,14,4,71,137
Robert,0,19200,23,2,72,136
Joel,19000,14200,18,0,72,140
Jerry,1,6600,9,3,72,139
Joel,15200,15800,21,3,73,140
Ethan,2,8200,13,4,73,142
Maureen,600,5600,12,1,73,141
Joel,22600,14400,16,2,74,140
Grayson,29201,16600,17,3,74,144
Cliff,24600,12600,22,1,74,143
Grayson,15210,12400,20,10,75,144
Jennifer,800,7600,14,1,75,146
Harry,600,7800,13,4,75,145
Grayson,2500,15000,18,5,76,144
Michael,0,10200,12,2,76,148
Lyle,8800,13200,23,3,76,147
Lyle,9600,16800,26,3,77,147
Dale,10350,4800,9,3,77,150
Emily,5600,4800,11,2,77,149
Dale,5200,2600,9,2,78,150
Hugh,10000,19800,28,3,78,152
David,5700,17800,17,3,78,151
Janine,12400,6900,18,2,79,155
Elaine,1,4800,11,0,79,154
Andrew,5000,8000,23,2,79,153
Janine,8300,5200,16,2,80,155
Brent,8500,7100,24,4,80,157
Nancy,400,400,3,1,80,156
Dave,8402,8000,22,3,81,161
John,1599,800,9,7,81,160
Eric,8401,5200,13,1,81,159
Hugh,3999,15000,18,2,82,152
Aaron,20000,19600,27,3,82,162
Jessica,5599,2800,6,2,82,158
Richard,9900,7600,21,2,83,163
Frank,4900,5100,15,3,83,164
Michael,8600,7900,17,1,83,165
Bob,9400,6800,20,4,84,169
Keith,3500,6800,16,0,84,170
Zeke,6000,5400,17,2,84,171
Eugene,3900,5900,16,3,85,166
Keith,0,3500,12,4,85,167
Jonathan,3399,5900,20,6,85,168
Bill,8200,4900,15,5,86,174
Eric,7700,8100,19,1,86,173
Cathy,4395,2800,10,2,86,172
Aaron,25100,23200,29,5,87,162
Paul,14400,7400,10,1,87,179
Catherine,1,10200,14,1,87,175
Pat,10202,13400,31,3,88,178
Stephen,5400,4200,13,0,88,177
Kathleen,2800,1400,7,2,88,176
Aaron,12799,17600,26,3,89,162
Christian,2400,1200,6,3,89,181
David,2400,11800,16,3,89,180
Bill,10500,6600,18,2,90,174
Adam,10000,5900,17,5,90,183
Michelle,9100,4100,16,2,90,182
Aaron,9400,13200,18,3,91,162
Laurie,19000,9600,12,3,91,185
Dan,17999,11400,19,4,91,184
John,12200,5900,16,3,92,192
Doug,10000,9900,24,2,92,191
Roger,8100,4100,15,4,92,190
Richard,12400,3200,15,3,93,163
Dave,13083,9700,23,3,93,161
Roger,1200,4500,14,2,93,190
Laurie,1,6200,12,3,94,185
Eric,11500,13600,20,4,94,194
Larry,-1300,7200,17,5,94,193
Eric,1,14000,21,5,95,194
Doug,2599,12400,20,3,95,196
Maura,6200,6200,10,2,95,195
Maura,3600,3600,12,2,96,195
Kerry,7300,14200,20,4,96,198
Michael,399,13200,18,4,96,197
Kerry,21000,19400,23,1,97,198
David,8400,8600,17,4,97,200
Mia,-400,-400,6,3,97,199
Kerry,27300,22800,26,2,98,198
Chris,14500,12200,20,2,98,202
Inez,8200,7200,10,2,98,201
Kerry,26100,18800,21,1,99,198
Harry,6000,11600,15,1,99,204
Val,12000,11000,18,5,99,203
Kerry,8700,15200,20,0,100,198
Alli,100,10000,9,2,100,206
Nick,3900,11600,21,4,100,205
Doug,-300,700,19,10,101,191
Michael,0,4400,14,2,101,165
Eugene,12100,7100,14,0,101,166
Kerry,18800,12000,17,2,102,198
Ruchi,4800,8400,14,4,102,208
Joshua,24001,18800,23,3,102,207
Joshua,15000,12600,21,2,103,207
Rick,4500,3200,7,3,103,210
Jennie,1300,5200,10,3,103,209
Joshua,0,17400,25,1,104,207
Jonathan,1799,16400,16,0,104,211
Alex,6800,13000,12,1,104,212
John,-300,500,10,6,105,192
Bob,8500,5100,22,7,105,169
Eric,34,1100,13,9,105,159
Alex,0,3600,5,2,106,212
Leslie,100,14000,18,1,106,214
Tim,24000,23600,26,2,106,213
Tim,22000,16000,23,4,107,213
Kevin,16800,10400,15,2,107,215
Patricia,1,7000,11,2,107,216
Tim,0,11800,17,1,108,213
Bud,23700,19400,25,1,108,218
Suzanne,1000,3400,6,5,108,217
Bud,14100,11600,15,1,109,218
Tom,7900,12600,17,3,109,220
Barrett,3800,6000,12,5,109,219
Bud,18799,9400,20,4,110,218
Rosann,14400,11800,14,2,110,222
Scott,14400,8400,15,5,110,221
Bud,18399,9200,15,3,111,218
Ali,10199,14200,15,1,111,224
Steve,18400,12800,19,5,111,223
Dave,7600,4600,16,2,112,161
Eugene,6800,6400,15,4,112,166
Bob,3800,5900,17,6,112,169
Steve,12007,10200,16,6,113,223
Jonathan,11999,8000,15,2,113,226
Jen,19103,11000,17,1,113,225
Jen,10903,8400,13,2,114,225
Ted,13399,10800,13,1,114,228
Matt,7900,13800,21,2,114,227
Steve,11500,5900,18,1,116,231
Nancy,12600,5200,16,1,116,230
Gardner,12600,6300,13,0,116,229
Ted,17000,13200,18,3,117,228
Tom,150,11800,18,8,117,233
Katie,100,2400,6,3,117,232
Ted,5999,19000,24,3,118,228
Bob,26001,15400,17,2,118,235
Leila,3000,8000,11,0,118,234
Mike,11100,11100,24,4,119,238
Beverly,5500,5000,14,0,119,237
Shane,500,9500,22,1,119,236
Michael,21600,22400,24,1,120,241
Vanamali,5800,6200,13,4,120,240
Jimmy,8300,10400,19,4,120,239
Brian,0,3100,10,3,121,244
Rachael,9200,9700,23,1,121,243
Kurt,9100,8400,22,2,121,242
Ruvani,22998,17000,25,4,122,247
Steve,26000,17800,22,2,122,246
Kerri,7200,6000,10,5,122,245
Caitlin,13100,14000,20,4,123,250
Allan,2800,7200,16,6,123,249
Whitney,7100,9200,9,0,123,248
Jerome,700,6900,18,2,125,253
Leszek,4000,9500,20,0,125,252
Bruce,0,7400,18,3,125,251
Rich,3399,4600,15,3,126,256
Eric,2199,8200,21,4,126,255
Bruce,0,4700,14,1,126,254
Peter,18000,14000,25,3,127,259
Chloé,7000,4400,13,4,127,NA
Orlando,8000,6800,14,7,127,257
Frank,30600,11100,31,3,128,262
Barbara,850,500,4,3,128,261
Murdock,5000,6200,14,3,128,260
Amy,-1200,-1200,9,5,129,265
Wes,14900,19200,26,3,129,264
Anne,12399,15600,17,2,129,263
Steve,3200,14000,22,3,130,246
Anne,20000,14800,19,3,130,263
Orlando,0,12200,13,2,130,257
Leslie,7000,10300,27,4,131,1605
Jim,0,1800,8,5,131,267
Scott,6000,2200,12,7,131,266
Robert,1600,3800,12,5,132,271
Joann,11599,5800,15,2,132,270
Andy,14400,11900,31,1,132,269
Michael,28401,18000,27,4,133,241
Peter,0,11200,19,4,133,259
Caitlin,-5000,-5000,3,4,133,250
John,1799,6300,14,0,134,274
Richard,10700,6700,21,3,134,273
Robert,11000,5500,16,2,134,272
Ruvani,12698,11000,16,3,135,247
Wes,25201,15200,23,5,135,264
Jimmy,23001,12600,15,1,135,239
Bob,11100,12400,28,4,136,277
David,1,5300,20,4,136,276
Pat,-800,-800,3,4,136,275
David,4900,4900,16,1,137,280
Regina,10200,7000,20,5,137,279
Brad,10201,7800,16,2,137,278
Brad,14000,13700,34,2,138,278
Annette,6300,7400,14,1,138,282
Mike,0,1200,8,2,138,281
Michael,19400,14400,21,4,139,241
Wes,10000,15800,19,1,139,264
Anne,9000,13000,16,3,139,263
Brad,10601,9500,27,2,140,278
Ann,1300,3000,10,2,140,284
Eric,699,4600,15,3,140,283
Leslie,0,14000,22,6,142,287
Michael,10600,8600,14,2,142,286
Eric,19801,15000,15,0,142,285
Elizabeth,7500,7200,17,2,143,290
Tom,-1000,4600,19,9,143,289
Jerod,6400,3400,12,2,143,288
Michael,31601,16800,19,1,144,293
Rachael,20600,17200,25,2,144,292
John,800,400,5,4,144,291
Brad,15200,12200,24,1,145,278
Tracey,6600,3300,15,2,145,295
Ron,6601,4100,14,3,145,294
Melissa,1200,3000,7,2,146,296
Babu,8700,15200,21,0,146,297
Arthur,8800,18200,22,4,146,298
Brad,5100,11700,35,3,147,278
Jim,2400,3800,12,4,147,300
Laurence,101,1100,5,3,147,299
Leslie,10000,12100,34,6,148,268
Roy,5000,3000,13,4,148,302
Steve,78,2300,9,2,148,301
David,12800,12800,16,3,149,305
Alan,12000,10600,21,4,149,304
Janet,6000,6800,9,1,149,303
Tom,10700,10700,20,0,150,307
Mark,99,5100,22,6,150,306
Doug,3200,3700,15,7,150,308
Frank,12600,7600,10,2,151,311
Bob,24400,12000,15,4,151,310
Tom,15201,11800,19,1,151,309
Robert,0,4700,20,3,152,314
Frank,16200,11100,24,1,152,313
Lionel,101,6400,14,3,152,312
David,10799,16600,27,4,153,317
Vinita,10800,13400,15,2,153,316
Steve,0,5400,8,4,153,315
Frank,600,5400,18,1,154,313
Tom,13600,6800,13,1,154,307
Leslie,100,7800,23,6,154,268
Bev,11709,12600,14,0,155,320
Sahir,11500,20600,24,2,155,319
Michael,0,1400,12,6,155,318
Gary,900,8000,19,1,157,323
Kathryn,3100,4700,14,3,157,322
David,13200,6600,21,4,157,321
Brian,0,4200,9,4,158,326
Jeremy,0,9800,18,4,158,325
Dan,19601,17200,22,4,158,324
Bruce,13801,10300,22,0,159,329
Kate,10400,3400,17,5,159,328
Richard,13800,6700,17,3,159,327
Roy,500,8000,23,7,160,332
Barbara-Anne,399,7800,19,3,160,331
Stephen,0,3000,9,1,160,330
Kermin,1599,15200,18,1,161,335
Mark,25600,12200,20,5,161,334
Lance,10400,14400,17,1,161,333
Michael,22500,19400,23,3,162,338
Sandra,10000,8200,17,5,162,337
Jack,0,9600,13,0,162,336
Bernard,-3000,0,5,4,163,341
Billy,-600,-600,12,7,163,340
Jeff,23300,12800,16,2,163,339
Steven,10800,8200,24,5,164,344
Michael,13801,5600,15,4,164,343
Peggy,13800,6900,18,1,164,342
Lisa,4600,4300,15,3,165,347
Steve,2900,5500,22,5,165,346
Michael,0,3800,12,5,165,345
John,19000,18200,22,4,166,350
Tom,0,11600,14,2,166,349
Carolyn,0,9200,14,4,166,348
Bruce,6500,9700,20,2,167,353
Sandra,8600,9100,28,4,167,352
Michael,1,2900,8,1,167,351
Tad,31300,17200,24,3,168,355
Leszek,17201,11200,17,1,168,356
Al,3201,10600,12,3,168,354
Leah,8000,4000,16,2,169,359
Mark,8800,6400,17,3,169,358
Ron,7000,9300,23,2,169,357
Bruce,16700,4800,13,3,170,329
Peggy,4799,10500,22,1,170,342
Roy,2300,3300,18,4,170,332
Michael,1599,3000,10,6,171,343
Kate,1200,5300,21,4,171,328
Mark,4400,3700,16,6,171,358
Jim,14400,8200,10,1,172,362
Jerome,27601,22600,25,1,172,361
Michelle,21501,13800,19,1,172,360
Greg,8400,7600,17,2,173,365
Lois,7500,3600,11,3,173,364
Frank,5000,2500,16,7,173,363
Greg,0,9500,24,3,174,365
Lynne,0,4600,11,1,174,367
Paul,0,1100,10,7,174,366
Lee,0,8200,12,5,175,371
Jennifer,0,5000,9,0,175,372
Fred,34000,25400,29,0,175,373
Diane,-1200,800,8,6,176,370
Bruce,19201,16600,20,4,176,369
Kevin,19200,8800,17,3,176,368
Gunther,2500,6600,16,2,177,376
Nancy,8390,5700,17,3,177,375
Michael,-1300,-1300,7,5,177,374
Richard,0,5700,12,1,178,327
Steven,7600,7800,22,1,178,344
Sandra,16001,9600,21,0,178,352
Nancy,100,3200,8,1,179,375
Larry,3000,7500,19,2,179,378
Denise,200,7000,23,5,179,377
Larry,9000,4500,15,4,180,378
Lorrie,13400,11200,28,3,180,380
Howard,200,3300,7,0,180,379
Bruce,12800,6400,14,1,181,329
Sandra,13000,7800,24,2,181,352
Mark,5000,7800,16,1,181,358
Ed,17400,14200,16,3,183,383
Andrew,10399,16400,24,3,183,382
Paul,1600,-200,10,5,183,381
Patrick,599,9000,23,2,184,386
Dan,12800,8400,23,2,184,385
Brian,8,4600,9,3,184,384
John,0,6200,10,2,185,389
Keith,13600,21000,26,5,185,388
Grace,26200,11800,17,1,185,387
Rick,3500,3500,12,2,186,392
Ron,15800,5300,11,0,186,391
Michael,15800,15700,34,1,186,390
Ron,13400,6500,18,3,187,391
Michael,13401,8300,28,5,187,390
Ann,0,1200,7,4,187,393
Lindsay,2609,6200,16,3,188,396
Christian,2542,1300,8,3,188,395
Michael,8800,6500,22,5,188,394
John,100,7000,9,2,189,399
Ryan,8224,18000,23,3,189,398
Barbara-Anne,0,17400,21,4,189,397
Bob,11000,6000,15,1,190,401
Mike,12900,8700,27,3,190,238
Michael,8200,4100,15,4,190,400
Michelle,2200,2700,8,2,191,404
Jane,7300,6300,14,2,191,403
Chris,12601,9000,24,1,191,402
Chris,16700,9500,23,1,192,402
Mike,3995,2000,13,3,192,406
Susan,2999,11700,24,2,192,405
Mark,21250,16600,20,4,193,407
Elaine,11800,7800,15,2,193,408
Chris,15700,10600,16,4,193,409
Chris,11801,8300,18,2,194,402
Dave,10900,6900,17,1,194,411
Tami,0,5300,18,3,194,410
Chris,12601,7400,22,3,196,402
Stephanie,1100,6100,15,2,196,413
John,1000,1100,9,5,196,412
David,5500,9100,24,4,197,416
Ryan,10103,7600,19,1,197,415
Isaac,6100,3600,12,3,197,414
Erik,32600,19600,21,1,198,419
Mark,1,3800,5,1,198,418
Michael,35201,24000,30,1,198,417
Chris,9598,9700,24,3,199,402
Jake,3200,2200,9,0,199,421
Sharon,4450,3000,12,2,199,420
