name,final,coryat,right,wrong,uid,playerid
Chip,1800,2700,11,7,881,1794
Craig,6199,11800,15,6,882,1790
Wendy,1,6800,12,5,882,1797
Rena,1,8200,12,4,882,1796
Peter,7000,2900,13,3,883,1800
Dana,10799,7700,20,2,883,1799
Creswell,0,3300,10,2,883,1798
Amy,0,3400,10,0,884,1802
David,20801,14300,34,1,884,1114
Sascha,400,7700,14,1,884,1801
Craig,3600,1800,9,3,885,1790
Michael,17401,17200,21,5,885,1804
Lizard,3600,11000,17,3,885,1803
Stefanie,201,1800,7,1,886,1806
Eric,12200,13500,27,3,886,1112
Julie,0,2100,11,3,886,1805
Michael,19201,14600,25,3,887,1804
Suzan,1000,8000,10,2,887,1808
Rory,7599,8200,15,3,887,1807
Stan,0,6400,18,2,888,1810
Samantha,2600,1600,9,3,888,1809
Chris,13500,11400,24,1,888,1113
Harry,1999,3600,17,4,889,1793
Adriana,7400,9200,25,4,889,1812
Chris,3601,2600,8,3,889,1811
Adriana,6410,8700,21,2,890,1812
Anne,1400,2900,16,4,890,1814
Ross,0,1700,11,3,890,1813
Michael,399,7400,12,2,891,1804
William,30000,20200,26,1,891,1816
Melanie,7625,7200,9,2,891,1815
Michael,22801,20600,28,2,892,1804
Stacy,700,7000,11,1,892,1818
Peggy,15000,11400,12,1,892,1817
Adriana,9000,9700,21,2,893,1812
Randy,1,400,9,6,893,1820
Coral,2500,2500,15,6,893,1819
Brian,18400,23400,24,0,894,1751
Andy,1,10400,14,4,894,1822
Matt,6346,12200,20,4,894,1821
Brian,26000,24600,35,2,895,1751
Russell,10000,13600,13,1,895,1824
Vicki,2700,1400,7,4,895,1823
Adriana,3500,5000,16,2,896,1812
Deborah,9201,6100,14,0,896,1826
Kemp,9199,5400,15,3,896,1825
Jake,18799,12000,14,3,897,744
Lisa,4199,3600,10,4,897,1828
Mike,29000,21600,27,0,897,1827
William,32500,13000,14,1,898,1816
Van,32400,16400,22,2,898,1830
John,18400,14200,19,3,898,1829
Deborah,5001,3800,10,1,899,1826
Peter,1999,5000,18,3,899,1832
Julie,1000,2000,13,8,899,1831
Steve,4500,2700,16,4,900,1835
Bruce,4300,4300,16,3,900,1834
Jerry,6100,3600,13,3,900,1833
William,6300,6000,11,3,901,1816
Kathy,16200,14200,18,2,901,1837
Dan,300,5600,13,7,901,1836
Deborah,-600,-600,3,2,903,1826
Dana,1199,900,9,4,903,1839
Andrew,6100,8100,25,5,903,1838
Kathy,1,6600,13,3,904,1837
Melissa,10200,11800,18,1,904,1841
Tom,8399,16000,19,4,904,1840
Andrew,5000,6900,19,3,905,1838
Doug,2,2500,12,3,905,1843
Danielle,200,3700,11,1,905,1842
Melissa,2,4000,6,2,906,1841
Brian,20000,18800,25,0,906,1845
Raena,7199,10600,19,5,906,1844
Connie,20599,10000,18,3,907,1848
Adam,399,10800,18,1,907,1847
Amy,21001,12600,17,4,907,1846
Amy,8799,11000,13,2,908,1846
Merlin,0,15600,22,2,908,1849
Alba,22001,14400,19,2,908,740
Andrew,10600,9200,23,1,909,1838
Alan,2595,1300,7,2,909,1851
Rebecca,1199,2900,15,4,909,1850
Brian,19201,8600,17,5,910,1845
Nissan,9100,9600,17,4,910,1853
Liana,17500,9000,12,3,910,1852
Jeeks,10200,5300,18,6,911,1855
Glen,10400,4600,18,3,911,435
Mike,10400,5200,15,1,911,1854
Andrew,12100,5500,20,3,912,1838
Marc,2000,7000,20,3,912,1857
Jayne,1,900,6,3,912,1856
Brian,1,3800,14,7,913,1845
Bob,6599,9600,13,4,913,1859
Holly,5900,14800,21,3,913,1858
Andrew,10300,9600,21,2,914,1838
Diane,3200,4200,10,3,914,1861
Brendan,1900,6900,21,2,914,1860
Bob,19601,18600,22,3,915,1859
Luis,3000,2200,11,5,915,1863
Melissa,200,9800,18,5,915,1862
Giselle,14700,6800,17,3,916,1866
Chris,99,7500,21,2,916,1865
Mike,400,2500,12,2,916,1864
Bob,9999,15400,17,0,917,1859
Kathleen,13400,11400,18,4,917,1868
Rodney,8199,11600,20,5,917,1867
Kathleen,11800,6400,8,2,918,1868
Doug,30001,19000,22,3,918,1870
Erika,17000,15000,22,3,918,1869
Giselle,11700,6900,16,2,919,1866
Megan,12001,6500,15,0,919,1872
John,13700,8000,20,3,919,1871
Ken,75000,37600,44,2,920,1
Sarah,1200,5800,9,2,920,1874
Kristine,1800,4800,4,1,920,1873
Phil,6999,3500,12,1,921,1877
Don,12400,7500,26,5,921,1876
Julie,11100,7100,16,2,921,1875
John,2000,7800,20,2,922,1871
Georgia,1999,3000,8,1,922,1879
Gary,13600,6100,22,3,922,1878
Doug,21200,8800,12,3,923,1870
Sally,100,5800,13,5,923,1881
Jimmie,8799,17600,22,4,923,1880
Gary,0,5700,15,1,924,1878
Linda,11900,8200,23,2,924,1883
Budd,1900,5200,13,2,924,1882
Linda,13300,9100,24,2,925,1883
Bruce,6600,7100,18,1,925,1885
Lucia,1500,2400,7,1,925,1884
Linda,2399,5400,18,5,926,1883
Patrick,3200,3500,12,4,926,1887
Kristi,5700,5400,16,3,926,1886
Doug,15601,21200,25,0,927,1870
Greg,0,6000,11,5,927,1889
Jacqueline,15500,9000,14,4,927,1888
Jeff,33601,17400,24,2,928,1892
Matt,2200,8800,14,3,928,1891
Peter,21201,13800,16,3,928,1890
Kristi,4200,7100,17,3,929,1886
James,4801,3700,16,6,929,1894
Kathy,0,2400,9,2,929,1893
Doug,3599,12600,17,1,930,1870
Theo,7800,10000,17,5,930,1896
Gigi,13000,9800,13,2,930,1895
Jeff,1,9000,18,5,931,1892
Ellen,10100,6400,10,4,931,1898
Ted,14399,20200,26,4,931,1897
James,10501,5900,19,5,932,1894
Kristan,3500,6500,17,0,932,1900
Matt,3599,5700,15,1,932,1899
Gigi,6100,8000,13,1,933,1895
Margaret,17801,10800,13,1,933,1902
Michael,27400,26200,28,2,933,1901
Faith,16000,16600,22,1,934,1905
Brian,6234,11800,16,2,934,1904
Katie,13999,7000,13,4,934,1903
James,8000,11500,23,0,935,1894
Joe,700,5600,17,2,935,1907
Helen,1,1700,10,4,935,1906
Michael,6790,7800,11,4,936,1901
Jaime,14100,16400,23,3,936,1909
Don,15300,8400,17,3,936,1908
James,10001,9000,21,3,937,1894
Gina,2000,2500,9,3,937,1911
Alan,0,3900,11,3,937,1910
Don,10400,8200,13,5,938,1908
Fred,14399,19200,25,2,938,1913
Lisa,5200,5200,11,3,938,1912
James,9499,9900,27,4,939,1894
Erik,5900,3200,11,1,939,1919
Martha,1,2900,7,2,939,1918
Mark,13700,18900,20,2,940,1917
Paul,0,10800,18,1,940,1916
Cathy,11200,5600,6,0,940,1915
Keith,27100,16800,13,0,940,1914
Susan,1999,3600,12,5,941,1922
Roger,1199,3900,10,5,941,1921
Debra,2999,1400,15,8,941,1920
Don,12900,8300,23,1,942,1876
Jackie,3000,2500,10,4,942,1924
Myron,8400,8300,20,2,942,1923
Fred,23400,20800,24,3,943,1913
Nathan,5000,6800,17,6,943,1926
Barbara,600,10600,15,0,943,1925
Fred,8401,8200,14,3,944,1913
Laura,17500,16000,15,3,944,1928
Matt,8400,5200,16,7,944,1927
Debra,600,2800,15,3,945,1920
Gail,1,2300,5,2,945,1930
John,8200,11200,29,2,945,1929
Laura,1,7600,12,3,946,1928
Luke,2000,7800,17,4,946,1932
Robbi,20800,23800,22,4,946,1931
John,6400,6300,19,4,947,1929
Devon,599,8400,17,2,947,1934
Dave,16199,7900,21,1,947,1933
Bob,32201,17900,20,2,948,1937
Eugene,21100,16100,16,1,948,1936
Eric,20800,15200,15,2,948,1935
Robbi,2400,13600,19,2,949,1931
Bob,20801,17400,23,2,949,1939
Stephanie,17600,8800,10,2,949,1938
Bob,26800,11600,21,2,950,1939
Dan,26801,17400,21,6,950,1941
Karmie,9600,8400,7,2,950,1940
Faith,5400,6800,15,5,951,1905
Frank,2199,6400,18,5,951,1943
Karen,2100,6600,8,1,951,1942
Dave,1,1500,15,5,952,1933
Scott,-900,600,6,6,952,1946
Will,4200,5200,15,3,952,1945
Kathy,6500,3300,8,3,953,1948
Bill,12400,8800,25,2,953,1947
Theresa,2200,3200,17,4,953,1944
Doug,5999,7800,12,2,954,1951
Kermin,99,4800,11,3,954,1950
Maria,6400,11000,24,7,954,1949
Bill,0,4300,18,4,955,1947
Nina,11100,8600,18,1,955,1953
Tony,999,2200,12,4,955,1952
Kevin,16402,17800,24,4,956,1956
David,6399,3200,6,3,956,1955
Aaron,16401,15600,21,3,956,1954
Will,14100,7900,18,1,957,1945
Ron,500,5700,19,3,957,1958
Linda,200,3200,12,3,957,1957
Kerry,10799,10400,18,3,958,1961
Jason,11000,13000,16,2,958,1960
Vik,26001,18400,23,2,958,1959
Michael,14000,13800,18,0,959,1964
David,28001,20200,22,2,959,1963
Bob,14400,10400,14,1,959,1962
Marsha,8700,12100,24,1,960,1967
Naomi,6580,3300,13,2,960,1966
David,6600,4600,12,3,960,1965
Will,3200,6500,15,1,961,1945
Colleen,10595,5300,15,1,961,1969
Daniel,5700,3900,17,6,961,1968
Tom,10000,8200,12,3,962,1972
Bill,18733,19000,23,2,962,1971
Nico,0,3000,12,7,962,1970
Faith,10000,12600,20,3,963,1905
Raj,21200,9600,12,2,963,1974
Michael,11400,9400,14,2,963,1973
Colleen,900,3900,12,5,964,1969
Ardys,799,400,10,9,964,1976
Pete,5801,8700,25,3,964,1975
Vik,18000,13600,18,3,965,1959
Aaron,13999,14800,23,3,965,1954
Bob,1999,10000,14,2,965,1962
David,0,4400,15,6,966,1963
Bill,23199,21400,26,1,966,1971
Kevin,11000,10600,10,2,966,1956
Pete,400,2800,13,5,967,1975
Felicia,7500,4000,13,3,967,1978
Brian,7700,4200,16,3,967,1977
Michael,22001,14000,18,1,968,1964
Jason,6000,10400,14,0,968,1960
Maria,22000,10600,20,5,968,1949
Bill,0,4800,15,4,969,1971
Michael,17400,15400,19,1,969,1964
Vik,30800,16800,18,4,969,1959
Brian,15600,7300,20,2,970,1977
Robb,3100,2900,12,3,970,1980
Peggy,16799,8400,19,1,970,1979
Peggy,1,7000,18,4,972,1979
Michael,399,7400,17,1,972,1982
April,14200,7200,19,0,972,1981
Dan,2200,12600,18,4,973,1941
Harvey,17300,16200,21,4,973,1984
John,0,6400,12,4,973,1983
Raj,21300,10800,13,1,974,1974
Anne,30900,14000,21,4,974,1986
Darrell,10600,15000,19,1,974,1985
Harvey,13599,15400,19,4,975,1984
Devin,10600,5600,16,4,975,1988
Tricia,15998,8800,13,5,975,1987
April,4800,4700,12,3,976,1981
Dennis,9200,9200,27,3,976,1990
Lynn,1900,1900,10,5,976,1989
Tricia,8400,4200,9,6,977,1987
Matt,1785,13000,16,4,977,1992
Karla,7500,10000,18,2,977,1991
Dennis,800,7400,20,0,978,1990
David,14200,6700,18,3,978,1994
Jill,100,3800,11,1,978,1993
Tricia,31,7000,12,5,979,1987
Robb,24400,12800,17,2,979,1996
Julie,7400,16400,19,4,979,1995
Robb,14200,7200,9,1,980,1996
Keith,15000,9200,11,1,980,1998
Stella,9199,17600,25,5,980,1997
David,13401,5700,19,4,981,1994
Wendy,101,6400,15,0,981,2000
Kraig,5500,7700,17,2,981,1999
David,7300,5300,18,4,982,1994
Leena,16398,8200,18,0,982,2002
Jeremy,16600,7700,18,1,982,2001
Keith,5800,10600,15,2,983,1998
Amy,15600,7800,17,4,983,2004
Eric,21601,14000,18,2,983,2003
Eric,24801,17800,23,2,984,2003
Kristen,16600,8000,14,3,984,2006
Ken,4800,9000,12,1,984,2005
Doug,32600,14300,36,2,985,433
Marc,4999,4400,11,4,985,2008
Mary,4100,2100,9,4,985,2007
Eric,11598,5800,12,5,986,2003
Steve,2799,9800,19,5,986,2010
Nathan,15801,14400,17,1,986,2009
Doug,7500,8800,27,2,987,433
Deborah,-100,-100,9,5,987,2012
Steve,0,5300,12,3,987,2011
Rohan,1000,5600,21,4,988,904
Damian,0,4100,15,3,988,2014
Janna,8700,6200,14,2,988,2013
Janna,11500,7000,21,2,989,2013
Jeff,13000,8400,19,3,989,2016
Melinda,12000,6000,14,0,989,2015
Jeff,399,200,6,2,990,2016
Rod,5000,8400,25,4,990,2018
Kathryn,401,1000,9,5,990,2017
Rod,12200,11600,23,1,991,2018
Diane,0,2900,13,4,991,2020
Mike,5999,6900,15,1,991,2019
Rod,4700,4800,19,3,992,2018
Cheryl,4599,3700,11,3,992,2022
David,-400,1300,11,6,992,2021
Nathan,8399,9400,14,3,993,2009
Kathy,1,2200,12,6,993,2024
Jonathan,18801,10400,15,3,993,2023
Doug,17400,9900,27,4,994,433
Robert,3799,3600,16,3,994,2026
Carey,3400,1700,6,4,994,2025
Jonathan,199,7200,13,4,995,2023
Dan,20000,17400,25,3,995,2028
Richard,6401,5600,11,3,995,2027
Rod,9500,7900,27,6,996,2018
Kathy,7500,3800,15,7,996,2030
Brandon,6300,3200,11,3,996,2029
Rod,4500,6800,24,4,997,2018
George,7000,3500,11,4,997,2032
Andrea,6900,4100,12,4,997,2031
George,10599,9500,23,1,998,2032
Suzel,1000,4000,10,4,998,2034
John,0,5800,14,1,998,2033
George,5000,4500,15,5,999,2032
Amy,11599,5200,15,1,999,2036
Jim,11601,6400,18,3,999,2035
Jim,1400,1700,11,5,1000,2035
Tanya,3500,5000,18,6,1000,2038
Jason,199,1100,14,8,1000,2037
Tanya,0,-200,16,8,1001,2038
Ellen,1601,2000,9,2,1001,2040
Ben,-100,-300,14,8,1001,2039
Ellen,4200,3600,15,3,1002,2040
Kent,6200,7200,23,1,1002,2042
Sharon,8100,5400,11,3,1002,2041
Sharon,100,4100,9,1,1003,2041
Ulhas,4599,7400,29,8,1003,2044
Pamela,0,4700,11,2,1003,2043
Ulhas,19200,9500,28,10,1004,2044
Jeanne,7600,3800,13,2,1004,2046
Jay,16600,5600,12,0,1004,2045
Ulhas,5000,7100,19,3,1005,2044
Kevin,1100,7200,20,0,1005,2048
Lesley,3200,2100,7,5,1005,2047
Doug,12000,10500,29,4,1006,433
Jason,0,4700,13,4,1006,2050
Cheryl,0,2100,12,6,1006,2049
Babu,11500,5100,11,0,1007,2051
Mark,12900,9900,26,1,1007,663
Rick,7599,8200,18,2,1007,659
Larry,2000,7500,18,3,1008,662
Andrew,900,4400,19,3,1008,2053
Pam,6399,6700,16,2,1008,2052
Michael,0,2400,12,5,1009,2056
Michelle,1599,8600,28,3,1009,2055
Ryan,6000,6600,12,4,1009,2054
Tad,4900,7300,22,5,1010,660
Lan,2400,2800,14,6,1010,2058
Kevin,0,4700,16,5,1010,2057
Catherine,17400,9500,29,6,1011,2061
Karen,399,4400,10,1,1011,2060
Irwin,16800,8400,19,0,1011,2059
Catherine,1795,900,13,6,1012,2061
Tad,10600,9600,26,2,1012,2063
Meredith,2100,3300,11,5,1012,2062
Dan,23201,13400,19,3,1013,2028
Audrey,23199,12600,11,1,1013,2065
Bill,6400,3200,16,7,1013,2064
Dan,22001,16000,22,3,1014,2028
Stefanie,2601,6600,10,1,1014,2067
Marcia,4991,10400,19,5,1014,2066
Glen,6600,8400,26,2,1015,435
Cindy,700,11000,22,1,1015,2071
Bill,3000,1500,7,2,1015,2070
Tad,10200,9800,25,4,1016,2063
Lisa,1,4300,15,2,1016,2069
Matt,4800,4200,14,1,1016,2068
Dan,17199,8600,14,1,1017,2028
Roberta,17500,10800,12,1,1017,2073
Quinn,6399,14800,22,4,1017,2072
Glen,16600,8100,19,3,1018,435
Mike,5600,3300,10,3,1018,1854
Ron,0,7300,22,2,1018,2074
Roberta,24201,12800,21,4,1019,2073
Jessica,5599,14200,17,3,1019,2076
Kerry,10,8600,13,1,1019,2075
Babu,20400,6700,14,2,1020,2051
Ryan,1299,5800,13,1,1020,2054
Tad,20500,10400,29,2,1020,660
Rick,10300,11800,26,3,1021,659
Pam,713,2800,11,3,1021,2052
Lan,7140,3600,14,1,1021,2058
Roberta,6901,3800,12,3,1023,2073
Thomas,6200,2000,8,2,1023,2080
Craig,26600,25400,28,5,1023,2079
Craig,14401,14000,22,3,1024,2079
Matt,6200,9200,10,3,1024,2082
Bill,1599,13000,18,4,1024,2081
Tad,11900,6600,24,3,1025,2063
Ann,11700,5300,15,1,1025,2084
Maureen,10000,5700,11,2,1025,2083
Ulhas,6800,7100,23,4,1026,2044
Mary-Beth,6700,3400,8,5,1026,2086
Trevor,14201,7200,20,2,1026,2085
Trevor,4400,7100,25,5,1027,2085
Bong,0,3700,13,2,1027,2088
Sherri,3100,1600,8,4,1027,2087
Jaime,3595,1800,10,6,1028,2091
Vinita,10300,7700,21,3,1028,2090
Andrew,3999,6200,19,4,1028,2089
Jayce,5000,3000,12,5,1029,2094
Erin,4400,4400,18,4,1029,2093
Marques,6050,5700,18,6,1029,2092
Sara,8100,10500,23,1,1030,2097
Susan,0,4700,17,6,1030,2096
Sam,800,400,7,4,1030,2095
Tony,2000,4600,12,6,1031,2100
Brittany,7100,5500,16,3,1031,2099
Matt,7593,5500,18,2,1031,2098
Thomas,14801,8000,17,2,1032,2103
Mysti,7600,7300,20,2,1032,2102
Brett,6600,3000,15,4,1032,2101
Vinita,10201,11500,23,1,1033,2090
Brett,0,4800,14,1,1033,2101
Jayce,10100,4400,12,0,1033,2094
Thomas,10200,8700,19,1,1034,2103
Brittany,4199,3900,15,5,1034,2099
Marques,-400,-400,15,8,1034,2092
Sara,4000,4000,15,4,1035,2097
Mysti,6599,3300,9,4,1035,2102
Matt,9895,9100,25,2,1035,2098
Vinita,12900,7100,17,3,1036,2090
Thomas,2500,5300,15,2,1036,2103
Matt,11000,7500,22,1,1036,2098
Craig,26000,20600,26,2,1038,2079
Lisa,2799,1400,11,6,1038,2105
Don,3400,5400,8,2,1038,2104
Greg,0,5500,20,4,1039,2108
Kevin,2300,2400,7,0,1039,2107
Mort,14001,6400,19,1,1039,2106
Craig,27201,13400,22,2,1040,2079
Danielle,4000,6400,8,2,1040,2110
Bob,7200,13600,22,6,1040,2109
Craig,20399,17400,23,1,1041,2079
Doug,500,13800,19,5,1041,2112
Maggie,400,7200,10,3,1041,2111
Jeremy,9200,4600,14,3,1042,2001
Laura,9201,8000,20,2,1042,2114
Darren,7000,3800,13,2,1042,2113
Craig,11199,13400,22,2,1043,2079
Gerald,3000,8000,11,2,1043,2116
Josh,27400,13200,17,5,1043,2115
Laura,6200,4700,17,3,1044,2114
Pete,9401,7100,16,2,1044,2118
Stacy,11101,5900,17,2,1044,2117
Mary,2100,7000,21,0,1045,2121
Michael,1,5900,15,2,1045,2120
Karl,16300,8700,19,2,1045,2119
Stacy,999,6500,15,1,1046,2117
Mason,999,3300,12,2,1046,2123
Kristine,5400,6400,18,3,1046,2122
Kristine,1199,3100,13,4,1047,2122
Kip,6600,4300,12,2,1047,2125
Jennifer,9001,7100,21,4,1047,2124
Josh,28200,23600,36,4,1048,2115
Leigh,1,7600,11,1,1048,2127
David,4400,8400,9,1,1048,2126
Jennifer,4600,8400,23,5,1049,2124
Rich,13601,7300,17,1,1049,2129
Michael,3000,1500,10,3,1049,2128
Rich,9001,7100,19,0,1050,2129
Meaghan,6999,11400,24,2,1050,2131
Prabal,4498,4100,12,1,1050,2130
Josh,22999,10800,22,6,1051,2115
Sioux,-800,-800,8,4,1051,2133
Clark,28200,21400,23,2,1051,2132
Clark,8200,12600,25,7,1052,2132
Amanda,7400,4400,9,3,1052,2135
Tony,2000,7000,15,4,1052,2134
Karl,26100,12200,30,2,1053,2119
Pete,10200,5200,9,1,1053,2137
Sandy,1599,6000,18,2,1053,2136
Rich,100,5300,14,2,1054,2129
Will,2001,3600,11,2,1054,2139
Debra,5699,7400,23,5,1054,2138
Trevor,4201,5000,14,6,1055,2085
Jacqui,800,2100,9,4,1055,2141
Eamon,699,7300,22,3,1055,2140
Trevor,15801,10400,23,0,1056,2085
Linda,5400,6600,17,2,1056,2143
James,6400,5400,15,2,1056,2142
Trevor,16001,10000,27,1,1057,2085
Betsy,5000,4900,13,0,1057,2145
Jake,6200,7800,14,1,1057,2144
Clark,14600,20200,24,6,1058,2132
Kathy,100,2800,9,2,1058,2147
Theresa,18600,9800,16,2,1058,2146
Debra,7000,7800,20,1,1059,2138
Mark,17799,8900,18,1,1059,2149
Laura,6300,7000,20,3,1059,2148
Theresa,16800,10200,17,2,1060,2146
Chris,20800,9400,17,5,1060,2151
John,14000,14200,15,1,1060,2150
Mark,5599,9600,23,1,1061,2149
Earl,-1100,-1100,7,5,1061,2153
Amy,0,7200,18,3,1061,2152
Kristin,0,5400,15,5,1062,2156
Geoffrey,7600,3400,12,3,1062,2155
Harold,7700,8400,17,4,1062,2154
Harold,0,13400,20,3,1063,2154
Rebekah,20800,18800,21,2,1063,2158
Kris,12200,7800,9,0,1063,2157
Rebekah,6200,12000,18,3,1064,2158
Susan,23400,15200,20,2,1064,2160
Trish,15000,8000,14,3,1064,2159
Susan,13000,17000,15,1,1065,2160
Frank,30000,12800,18,4,1065,2162
Adam,2300,1400,16,5,1065,2161
Frank,12000,11600,19,5,1066,2162
Lara,3199,8200,12,2,1066,2164
Charan,500,10600,14,2,1066,2163
Mark,100,4900,17,3,1067,2149
Zach,9190,4800,14,4,1067,2166
Happy,1,2800,14,2,1067,2165
Chris,100,10600,16,6,1068,2151
Joan,2,5000,10,3,1068,2168
Mark,12600,12800,21,1,1068,2167
Zach,2599,7800,18,4,1069,2166
Tonya,2800,2600,14,6,1069,2170
Alex,5050,4200,12,3,1069,2169
Karl,7900,11100,33,3,1070,2119
Rob,2200,3600,9,1,1070,2172
Don,12000,6000,13,0,1070,2171
Mark,11599,15600,18,1,1071,2167
Ryan,1400,7400,15,6,1071,2174
Priya,5200,11200,18,2,1071,2173
Frank,0,1200,12,6,1072,2162
Kathy,12400,10800,17,4,1072,2176
Marek,10,6200,12,4,1072,2175
Kathy,21600,13600,16,1,1073,2176
James,4800,2400,13,3,1073,2178
Sharon,20800,11000,17,5,1073,2177
Kathy,2000,15200,20,6,1074,2176
Luke,0,12400,16,1,1074,2180
Christian,50,6400,12,4,1074,2179
Kathy,23200,15600,23,4,1075,2176
Brian,22600,11600,15,3,1075,2182
Mittie,3700,3400,6,0,1075,2181
Kathy,12400,15400,21,3,1076,2176
Jaclyn,12900,6600,9,1,1076,2184
Bill,15100,11600,19,2,1076,2183
Alex,-500,500,7,5,1077,2169
Lisa,4000,8800,22,2,1077,2186
Matt,1199,9600,21,3,1077,2185
Mark,2799,8200,14,5,1078,2167
Cait,8400,5800,13,7,1078,2188
Sidney,13400,7400,17,8,1078,2187
Lisa,3500,5200,15,1,1079,2186
Karl,6600,6600,16,1,1079,2190
Patti,2399,7400,20,4,1079,2189
Sidney,1000,10400,15,3,1080,2187
John,1,7000,11,5,1080,2192
Jennifer,6600,14200,20,4,1080,2191
Karl,0,2800,14,5,1081,2190
Paul,1799,7900,18,4,1081,2194
Caroline,1,4700,17,3,1081,2193
Jennifer,1,6200,7,1,1082,2191
Jeff,33600,11600,13,0,1082,2196
Susannah,37201,29200,33,1,1082,2195
Bill,13600,13600,18,3,1083,2183
Todd,9100,13800,17,4,1083,2198
Lani,4300,8400,13,3,1083,2197
Bill,17199,17400,19,0,1084,2183
M J,17600,8200,18,2,1084,NA
Mike,16700,9200,12,4,1084,2199
M J,8000,4000,15,6,1085,NA
Christopher,20800,12200,14,3,1085,2202
Tracy,23200,12000,17,2,1085,2201
Tracy,30900,16600,21,5,1086,2201
Catherine,15400,17400,23,2,1086,2204
Neil,200,5200,8,2,1086,2203
Tracy,5700,5200,14,3,1087,2201
Dana,15600,15600,21,0,1087,2206
Matt,2,7000,9,5,1087,2205
Dana,20801,12600,15,2,1088,2206
John,400,11000,14,3,1088,2208
Christine,18400,9400,14,1,1088,2207
Dana,3500,7800,15,4,1089,2206
Denese,0,4400,9,1,1089,2210
Timothy,15000,10000,20,5,1089,2209
Timothy,801,6000,16,7,1090,2209
Karim,1799,3600,11,5,1090,2212
Sarah,0,10800,17,4,1090,2211
Karim,1800,9800,16,3,1091,2212
Loyd,5200,10200,15,2,1091,2214
Bara,1799,11000,14,2,1091,2213
Loyd,24800,14400,20,4,1092,2214
Robert,30900,16800,20,3,1092,2216
Carly,1000,4800,10,3,1092,2215
Paul,6700,5800,16,1,1093,2194
David,13700,7700,21,1,1093,2218
Jenn,-100,1700,10,6,1093,2217
Ben,20000,19200,23,1,1094,2221
Gaby,0,3800,13,8,1094,2220
David,2399,8000,14,5,1094,2219
Ben,20000,18600,30,5,1095,2221
Liz,6801,9800,10,1,1095,2223
Robert,6400,3400,7,1,1095,2222
Patrick,31400,17400,21,0,1096,2226
Robin,10000,11400,21,8,1096,2225
Scott,0,1800,7,3,1096,2224
Patrick,7700,5600,11,4,1097,2226
Daniel,24400,25000,26,1,1097,2228
Ron,8001,7600,14,2,1097,2227
David,8000,5300,22,6,1098,2218
Cheryl,2999,7800,20,3,1098,2230
Matt,4000,4400,13,1,1098,2229
Susannah,18800,9400,18,5,1099,2195
Mike,3524,11400,20,6,1099,2232
Judy,4600,6200,10,3,1099,2231
Ben,0,12400,17,4,1100,2235
Mitchell,400,14200,16,1,1100,2234
Ronnie,2000,16400,21,1,1100,2233
Ronnie,6200,19600,28,2,1101,2233
Ben,6600,4600,8,4,1101,2221
Allison,1800,12000,17,4,1101,2236
Ben,26001,15600,20,2,1102,2221
Melanie,25500,13000,17,2,1102,2238
Trey,7201,7800,19,6,1102,2237
Ben,5999,16200,26,4,1103,2221
Julie,4799,7800,14,4,1103,2240
Andrew,0,4400,6,2,1103,2239
David,10000,7500,18,1,1104,2218
Pat,3799,2400,18,4,1104,2242
Josh,15001,5400,17,3,1104,2241
Josh,800,4300,16,3,1105,2241
Nathan,6800,3500,13,7,1105,2244
Yen,6799,7100,22,3,1105,2243
Susannah,6399,14600,21,3,1106,2195
Michelle,6500,11200,13,3,1106,2246
A.K.,0,5000,11,2,1106,2245
Michelle,15998,8000,16,4,1107,2246
Seth,20500,12200,17,4,1107,2248
Vanessa,4200,10200,12,2,1107,2247
Thomas,19400,8200,16,1,1108,2251
Stephen,11800,5900,20,4,1108,2250
David,8800,5400,15,4,1108,2249
James,0,3400,14,5,1109,2254
Dan,15000,12300,31,1,1109,2253
Melizza,0,4300,10,3,1109,2252
Rich,8500,6000,8,0,1110,2257
Brett,8300,16400,25,4,1110,2256
Erin,8200,12600,18,4,1110,2255
Seth,2000,8600,10,2,1111,2248
Rich,9600,9600,15,6,1111,2257
Jo,9000,7800,13,3,1111,2258
Dave,10200,9800,23,4,1112,2261
Lara,1600,3700,18,3,1112,2260
Andrew,0,5700,11,1,1112,2259
Pat,15801,7400,17,1,1113,2264
David,12400,7900,20,2,1113,2263
Juliet,6000,4000,16,2,1113,2262
Rich,6800,7800,10,2,1114,2257
Hanna,1,9600,16,3,1114,2266
David,18799,20400,26,5,1114,2265
Andrew,10800,4800,11,0,1115,2269
Carolyn,5400,2700,22,6,1115,2268
J.J.,5599,6600,19,4,1115,2267
David,26000,19000,26,2,1116,2265
Dena,5900,4200,6,2,1116,2271
Louis,19500,15000,18,2,1116,2270
Chris,3400,1700,14,3,1117,2274
John,7499,5500,18,2,1117,2273
Lance,7601,7700,19,3,1117,2272
David,5599,10400,20,6,1118,2265
Susan,8000,10800,13,4,1118,2276
Tom,100,6800,13,3,1118,2275
Andrew,0,5500,16,1,1119,2269
Lance,0,6900,18,3,1119,2272
Juliet,13950,6400,17,1,1119,2262
Nick,6400,3400,10,2,1120,2279
Lauren,10400,4200,14,4,1120,2278
Allyson,26200,12000,24,6,1120,2277
Josh,21100,16000,22,3,1121,2282
Suzie,18100,19000,21,1,1121,2281
Jared,2,9000,11,1,1121,2280
Andrew,15199,7400,11,4,1122,2285
Michael,32800,17800,24,2,1122,2284
Tiffany,17900,15400,20,1,1122,2283
