game,show,date
3582,6093,2011-02-23
3583,6094,2011-02-24
3584,6095,2011-02-25
3585,958,1988-11-02
3586,6096,2011-02-28
3587,6097,2011-03-01
3589,6100,2011-03-04
3590,6099,2011-03-03
3591,6102,2011-03-08
3592,6101,2011-03-07
3593,6103,2011-03-09
3594,6104,2011-03-10
3595,2039,1993-06-17
3596,6105,2011-03-11
3597,6106,2011-03-14
3598,6107,2011-03-15
3599,6108,2011-03-16
3600,6109,2011-03-17
3601,4370,2003-09-12
3602,6110,2011-03-18
3603,1214,1989-12-07
3604,6111,2011-03-21
3605,6112,2011-03-22
3606,6113,2011-03-23
3607,6114,2011-03-24
3608,6115,2011-03-25
3609,6116,2011-03-28
3610,6117,2011-03-29
3611,6118,2011-03-30
3612,6120,2011-04-01
3613,6119,2011-03-31
3614,6121,2011-04-04
3615,6122,2011-04-05
3616,6123,2011-04-06
3617,6124,2011-04-07
3618,6125,2011-04-08
3619,6126,2011-04-11
3620,6127,2011-04-12
3621,6128,2011-04-13
3622,6129,2011-04-14
3623,6130,2011-04-15
3624,6131,2011-04-18
3625,2143,1993-12-22
3626,6132,2011-04-19
3627,6133,2011-04-20
3628,6134,2011-04-21
3629,6135,2011-04-22
3630,6136,2011-04-25
3631,6137,2011-04-26
3632,6138,2011-04-27
3633,6140,2011-04-29
3634,6139,2011-04-28
3635,6141,2011-05-02
3636,6142,2011-05-03
3637,6143,2011-05-04
3638,6145,2011-05-06
3639,6144,2011-05-05
3640,6146,2011-05-09
3641,6147,2011-05-10
3642,6148,2011-05-11
3643,6149,2011-05-12
3645,6151,2011-05-16
3646,6152,2011-05-17
3647,6153,2011-05-18
3648,6154,2011-05-19
3649,6155,2011-05-20
3650,6156,2011-05-23
3651,6157,2011-05-24
3652,6158,2011-05-25
3653,6160,2011-05-27
3654,6159,2011-05-26
3655,6161,2011-05-30
3656,6162,2011-05-31
3657,6163,2011-06-01
3658,6164,2011-06-02
3659,6165,2011-06-03
3660,6166,2011-06-06
3661,6167,2011-06-07
3662,6168,2011-06-08
3663,6169,2011-06-09
3664,6170,2011-06-10
3665,501,1986-11-10
3666,503,1986-11-12
3667,6172,2011-06-14
3668,6171,2011-06-13
3669,6173,2011-06-15
3670,504,1986-11-13
3671,505,1986-11-14
3672,6174,2011-06-16
3673,6175,2011-06-17
3674,506,1986-11-17
3675,6176,2011-06-20
3676,507,1986-11-18
3677,6177,2011-06-21
3678,6178,2011-06-22
3679,1655,1991-11-08
3680,1656,1991-11-11
3681,1657,1991-11-12
3682,6180,2011-06-24
3683,1658,1991-11-13
3684,6179,2011-06-23
3685,6181,2011-06-27
3686,6182,2011-06-28
3687,6183,2011-06-29
3688,6184,2011-06-30
3689,6185,2011-07-01
3690,6186,2011-07-04
3691,6187,2011-07-05
3692,6188,2011-07-06
3693,6189,2011-07-07
3694,6190,2011-07-08
3695,6191,2011-07-11
3696,6192,2011-07-12
3697,6193,2011-07-13
3698,6195,2011-07-15
3699,6194,2011-07-14
3700,6196,2011-07-18
3701,6197,2011-07-19
3702,6198,2011-07-20
3703,1237,1990-01-09
3704,6199,2011-07-21
3705,1238,1990-01-10
3706,6200,2011-07-22
3707,6201,2011-07-25
3708,6202,2011-07-26
3709,6203,2011-07-27
3710,3203,1998-07-01
3711,980,1988-12-02
3712,6204,2011-07-28
3713,6205,2011-07-29
3714,6206,2011-09-19
3715,6207,2011-09-20
3716,6208,2011-09-21
3717,6210,2011-09-23
3718,6209,2011-09-22
3719,6211,2011-09-26
3720,6212,2011-09-27
3721,6213,2011-09-28
3722,6214,2011-09-29
3723,6215,2011-09-30
3724,6216,2011-10-03
3725,6217,2011-10-04
3726,6218,2011-10-05
3727,1799,1992-05-28
3728,1800,1992-05-29
3729,6220,2011-10-07
3730,1905,1992-12-11
3731,1906,1992-12-14
3732,1907,1992-12-15
3733,6221,2011-10-10
3734,6222,2011-10-11
3735,6219,2011-10-06
3736,6223,2011-10-12
3737,6224,2011-10-13
3738,6225,2011-10-14
3739,6226,2011-10-17
3740,6227,2011-10-18
3741,6228,2011-10-19
3742,6229,2011-10-20
3743,6230,2011-10-21
3744,6231,2011-10-24
3745,6232,2011-10-25
3746,6233,2011-10-26
3747,6234,2011-10-27
3748,6235,2011-10-28
3749,6236,2011-10-31
3750,6237,2011-11-01
3751,6238,2011-11-02
3752,6239,2011-11-03
3753,6240,2011-11-04
3754,6241,2011-11-07
3755,6243,2011-11-09
3756,6242,2011-11-08
3757,6245,2011-11-11
3758,6244,2011-11-10
3759,6246,2011-11-14
3761,6248,2011-11-16
3762,6249,2011-11-17
3763,6250,2011-11-18
3764,6251,2011-11-21
3765,6252,2011-11-22
3766,6253,2011-11-23
3767,6255,2011-11-25
3768,6254,2011-11-24
3769,6256,2011-11-28
3770,6257,2011-11-29
3771,6258,2011-11-30
3772,6260,2011-12-02
3773,6259,2011-12-01
3774,6261,2011-12-05
3775,6262,2011-12-06
3776,1177,1989-10-17
3777,6263,2011-12-07
3778,6264,2011-12-08
3779,6265,2011-12-09
3780,6266,2011-12-12
3781,6267,2011-12-13
3782,6268,2011-12-14
3783,6269,2011-12-15
3784,6270,2011-12-16
3785,1908,1992-12-16
3786,6271,2011-12-19
3787,6272,2011-12-20
3788,6273,2011-12-21
3789,6274,2011-12-22
3790,6275,2011-12-23
3791,6276,2011-12-26
3792,6277,2011-12-27
3793,6278,2011-12-28
3794,1178,1989-10-18
3795,6280,2011-12-30
3796,6279,2011-12-29
3797,6281,2012-01-02
3798,6282,2012-01-03
3799,6283,2012-01-04
3800,6284,2012-01-05
3801,6285,2012-01-06
3802,6286,2012-01-09
3803,6287,2012-01-10
3804,6288,2012-01-11
3805,6290,2012-01-13
3806,6291,2012-01-16
3807,6289,2012-01-12
3808,6292,2012-01-17
3809,6293,2012-01-18
3810,6294,2012-01-19
3811,6295,2012-01-20
3812,6296,2012-01-23
3813,6297,2012-01-24
3814,6298,2012-01-25
3815,6299,2012-01-26
3816,6300,2012-01-27
3817,6302,2012-01-31
3818,6301,2012-01-30
3819,6303,2012-02-01
3820,6304,2012-02-02
3821,6305,2012-02-03
3822,6306,2012-02-06
3823,6307,2012-02-07
3824,6308,2012-02-08
3825,6309,2012-02-09
3826,6310,2012-02-10
3827,6311,2012-02-13
3829,6313,2012-02-15
3830,6315,2012-02-17
3831,6314,2012-02-16
3832,6316,2012-02-20
3833,6317,2012-02-21
3834,6318,2012-02-22
3835,6319,2012-02-23
3836,6320,2012-02-24
3837,6321,2012-02-27
3839,6323,2012-02-29
3840,6325,2012-03-02
3841,6324,2012-03-01
3842,6333,2012-03-14
3843,6326,2012-03-05
3844,6327,2012-03-06
3845,6328,2012-03-07
3846,6330,2012-03-09
3847,6329,2012-03-08
3848,6331,2012-03-12
3849,6332,2012-03-13
3850,6334,2012-03-15
3851,6335,2012-03-16
3852,6336,2012-03-19
3853,6337,2012-03-20
3854,6338,2012-03-21
3855,6339,2012-03-22
3856,6340,2012-03-23
3857,6341,2012-03-26
3858,6342,2012-03-27
3859,6343,2012-03-28
3860,6344,2012-03-29
3861,6345,2012-03-30
3862,6346,2012-04-02
3863,6347,2012-04-03
3864,6348,2012-04-04
3865,6349,2012-04-05
3866,6350,2012-04-06
3867,6351,2012-04-09
3868,6352,2012-04-10
3869,6353,2012-04-11
3870,6354,2012-04-12
3871,6355,2012-04-13
3872,2769,1996-09-19
3873,6356,2012-04-16
3874,6357,2012-04-17
3875,6358,2012-04-18
3876,2770,1996-09-20
3877,6360,2012-04-20
3878,6359,2012-04-19
3879,6361,2012-04-23
3880,6362,2012-04-24
3881,2771,1996-09-23
3882,6363,2012-04-25
3883,6364,2012-04-26
3884,6365,2012-04-27
3885,6367,2012-05-01
3886,6366,2012-04-30
3887,6368,2012-05-02
3888,6369,2012-05-03
3890,6371,2012-05-07
3891,6372,2012-05-08
3892,6373,2012-05-09
3894,6374,2012-05-10
3895,6376,2012-05-14
3896,6377,2012-05-15
3897,6378,2012-05-16
3898,6380,2012-05-18
3899,6381,2012-05-21
3900,6382,2012-05-22
3901,6379,2012-05-17
3902,6383,2012-05-23
3903,6384,2012-05-24
3904,6385,2012-05-25
3905,6386,2012-05-28
3906,6387,2012-05-29
3907,6388,2012-05-30
3908,6389,2012-05-31
3909,6390,2012-06-01
3910,6391,2012-06-04
3911,6392,2012-06-05
3912,6393,2012-06-06
3913,6395,2012-06-08
3914,6394,2012-06-07
3915,6396,2012-06-11
3916,6397,2012-06-12
3917,6398,2012-06-13
3918,6400,2012-06-15
3919,6401,2012-06-18
3920,6399,2012-06-14
3921,6402,2012-06-19
3922,6403,2012-06-20
3923,6404,2012-06-21
3924,6405,2012-06-22
3925,6406,2012-06-25
3926,6407,2012-06-26
3927,6408,2012-06-27
3928,3176,1998-05-25
3929,6409,2012-06-28
3930,6410,2012-06-29
3931,2864,1997-01-30
3932,6411,2012-07-02
3933,6412,2012-07-03
3934,480,1986-10-10
3935,6413,2012-07-04
3936,2877,1997-02-18
3937,6415,2012-07-06
3938,6416,2012-07-09
3939,6414,2012-07-05
3940,478,1986-10-08
3941,2878,1997-02-19
3942,6417,2012-07-10
3943,563,1987-02-04
3944,6418,2012-07-11
3945,6419,2012-07-12
3946,6420,2012-07-13
3947,1748,1992-03-18
3948,6421,2012-07-16
3949,2786,1996-10-14
3950,6422,2012-07-17
3951,2528,1995-09-06
3952,328,1985-12-11
3953,6423,2012-07-18
3954,2112,1993-11-09
3955,2765,1996-09-13
3956,6424,2012-07-19
3957,6426,2012-07-23
3958,6425,2012-07-20
3959,6427,2012-07-24
3960,1765,1992-04-10
3961,6428,2012-07-25
3962,2334,1994-10-27
3963,6430,2012-07-27
3964,6431,2012-07-30
3965,6432,2012-07-31
3966,6433,2012-08-01
3967,6435,2012-08-03
3968,6429,2012-07-26
3969,6434,2012-08-02
3970,561,1987-02-02
3971,6436,2012-09-17
3972,6437,2012-09-18
3973,6438,2012-09-19
3974,6439,2012-09-20
3975,6440,2012-09-21
3976,6441,2012-09-24
3977,6442,2012-09-25
3978,6443,2012-09-26
3979,6444,2012-09-27
3980,6445,2012-09-28
3981,6446,2012-10-01
3982,6447,2012-10-02
3983,6448,2012-10-03
3984,6449,2012-10-04
3985,6450,2012-10-05
3986,6451,2012-10-08
3987,6452,2012-10-09
3988,6453,2012-10-10
3989,6455,2012-10-12
3990,6456,2012-10-15
3991,6457,2012-10-16
3992,6458,2012-10-17
3993,6454,2012-10-11
3994,6459,2012-10-18
3995,6460,2012-10-19
3996,6461,2012-10-22
3997,6462,2012-10-23
3998,6463,2012-10-24
3999,6464,2012-10-25
4000,6465,2012-10-26
4001,6466,2012-10-29
4002,6467,2012-10-30
4003,6468,2012-10-31
4004,6469,2012-11-01
4005,6470,2012-11-02
4006,6471,2012-11-05
4007,6472,2012-11-06
4008,6473,2012-11-07
4009,6475,2012-11-09
4010,6474,2012-11-08
4011,6477,2012-11-13
4012,6476,2012-11-12
4013,6478,2012-11-14
4014,6480,2012-11-16
4015,6479,2012-11-15
4016,6481,2012-11-19
4018,6483,2012-11-21
4019,6484,2012-11-22
4020,6485,2012-11-23
4021,6486,2012-11-26
4022,6487,2012-11-27
4023,6488,2012-11-28
4024,6489,2012-11-29
4025,6490,2012-11-30
4026,6491,2012-12-03
4027,6492,2012-12-04
4028,6493,2012-12-05
4029,6494,2012-12-06
4030,6495,2012-12-07
4031,6496,2012-12-10
4032,6497,2012-12-11
4033,6498,2012-12-12
4034,6500,2012-12-14
4035,6501,2012-12-17
4036,6502,2012-12-18
4037,6499,2012-12-13
4038,6503,2012-12-19
4039,6504,2012-12-20
4040,6505,2012-12-21
4041,6506,2012-12-24
4042,6507,2012-12-25
4043,6508,2012-12-26
4044,6510,2012-12-28
4045,6511,2012-12-31
4046,6512,2013-01-01
4047,6509,2012-12-27
4048,6513,2013-01-02
4049,6514,2013-01-03
