"round","col","row","i","name","score","uid"
1,5,4,14,"Jeff",1200,1501
2,3,3,56,"Peg",4000,1501
2,4,3,51,"Jared",-6000,1501
1,1,4,19,"Dave",-4000,1502
2,1,3,58,"Julie",2000,1502
2,6,3,33,"Julie",4000,1502
1,3,5,25,"Rick",200,1503
2,5,3,39,"Rick",1400,1503
2,1,5,35,"Pamela",-1000,1503
1,4,3,23,"Courtney",400,1504
2,1,3,53,"Courtney",-1000,1504
2,4,4,49,"Rick",1000,1504
1,3,3,3,"Siobhan",500,1505
2,5,3,45,"Siobhan",-200,1505
2,4,4,54,"Raj",800,1505
1,1,4,4,"Raj",400,1506
2,4,3,48,"Raj",3000,1506
2,5,3,53,"Beth",1000,1506
1,1,3,8,"Raj",-500,1507
2,2,3,39,"David",1000,1507
2,4,5,31,"Raj",1500,1507
1,2,5,10,"Steve",-1000,1508
2,2,2,33,"Steve",1000,1508
2,4,4,50,"Raj",-2000,1508
1,1,4,24,"Dennis",500,1509
2,3,4,59,"Raj",-500,1509
2,2,5,49,"Raj",4000,1509
1,5,3,8,"Dennis",-600,1510
2,2,3,39,"Dennis",500,1510
2,3,4,35,"Kathryn",-2000,1510
1,4,3,28,"Abigail",800,1511
2,3,5,55,"Rob",-2000,1511
2,6,5,57,"Abigail",600,1511
1,1,5,15,"Rob",-1000,1512
2,4,3,43,"Rob",700,1512
2,1,4,57,"Matthew",3000,1512
1,3,5,27,"Armando",-1000,1513
2,1,4,57,"Matthew",1000,1513
2,4,5,36,"Jack",2000,1513
1,2,5,28,"Jack",1000,1514
2,3,4,44,"Alex",1000,1514
2,4,4,54,"Diane",-1500,1514
1,5,3,28,"Diane",-500,1515
2,4,3,53,"Diane",-1000,1515
2,6,4,37,"Brian",-1200,1515
1,5,5,25,"Luann",-2000,1516
2,5,4,54,"Julie",-4000,1516
2,6,5,36,"Luann",-1000,1516
1,4,4,24,"Chad",-2000,1517
2,1,4,35,"Ken",2600,1517
2,3,4,44,"Chad",-4600,1517
1,1,4,9,"Michelle",1000,1518
2,3,4,54,"Michelle",3000,1518
2,5,4,35,"Julie",3000,1518
1,2,3,8,"Ricky",1000,1519
2,5,4,51,"David",-6000,1519
2,6,5,57,"David",2000,1519
1,5,5,13,"Larry",500,1520
2,5,3,58,"Jay",1600,1520
2,4,4,54,"John",2000,1520
1,1,4,29,"Larry",1000,1521
2,1,3,43,"Jesse",2000,1521
2,2,4,49,"Larry",2600,1521
1,3,3,25,"Shane",1000,1522
2,3,3,53,"Ashley",1000,1522
2,1,4,49,"Darrell",-1000,1522
1,2,4,9,"Ashley",400,1523
2,2,3,33,"Joe",1700,1523
2,3,5,60,"Joe",-700,1523
1,2,5,15,"Janet",500,1524
2,5,4,56,"Robin",-1000,1524
2,6,4,52,"Joe",-1300,1524
1,4,4,24,"Robin",1000,1525
2,3,3,34,"Robin",1500,1525
2,1,4,40,"Kathleen",-1500,1525
1,5,3,22,"Tom",-700,1526
2,3,4,48,"Martha",-1000,1526
2,6,4,56,"Tim",-500,1526
1,4,5,28,"Steve",1000,1527
2,1,4,54,"Sanjit",-1000,1527
2,3,5,38,"Sanjit",800,1527
1,1,5,5,"Travis",-500,1528
2,2,4,39,"Steve",-2500,1528
2,4,4,57,"Steve",1400,1528
1,1,5,7,"Caley",200,1529
2,5,3,34,"Paige",1700,1529
2,1,4,40,"Alexis",1000,1529
1,5,4,23,"Ryan",800,1530
2,1,3,58,"Ryan",1000,1530
2,6,4,46,"Farah",2000,1530
1,5,4,14,"Logan",700,1531
2,1,5,45,"Jonathan",1500,1531
2,2,5,60,"Logan",2000,1531
1,5,3,14,"Colleen",1000,1532
2,3,3,50,"Nicole",-1000,1532
2,1,5,36,"Nicole",800,1532
1,1,3,28,"Graham",1000,1533
2,2,3,38,"Graham",700,1533
2,3,4,44,"Graham",1500,1533
1,3,4,29,"Jonathan",100,1534
2,1,3,38,"Graham",1500,1534
2,5,3,48,"Graham",700,1534
1,2,5,16,"Colleen",1000,1535
2,1,5,38,"Alexis",-1100,1535
2,2,5,54,"Alexis",1500,1535
1,5,4,19,"Katherine",-600,1536
2,1,5,46,"Ryan",500,1536
2,5,5,57,"Andy",1800,1536
1,2,4,9,"Andy",500,1537
2,3,5,58,"Andy",-1200,1537
2,4,5,46,"Andy",2400,1537
1,5,5,27,"Ken",1000,1539
2,2,3,50,"Ken",3000,1539
2,3,4,56,"Ken",2800,1539
1,4,5,25,"Brian",-2000,1540
2,3,3,50,"Shelley",-3000,1540
2,5,3,58,"Shelley",2000,1540
1,3,4,10,"Jim",1000,1541
2,1,4,55,"John",3000,1541
2,4,5,50,"Erin",3000,1541
1,1,3,8,"Meagan",1000,1542
2,1,5,41,"Meagan",1800,1542
2,3,5,36,"Kirik",2000,1542
1,1,5,20,"Eric",1200,1543
2,4,3,58,"Meagan",7800,1543
2,3,4,44,"Meagan",2800,1543
1,3,4,27,"Eric",1200,1544
2,2,3,52,"Eric",2000,1544
2,5,4,43,"Eric",1600,1544
1,4,4,13,"Eric",1600,1545
2,3,4,46,"Peter",-3000,1545
2,5,5,60,"Peter",-9000,1545
1,1,5,17,"Eric",1200,1546
2,3,4,57,"Douglas",-1600,1546
2,6,4,52,"Jenifer",1200,1546
1,4,5,5,"John",1000,1547
2,1,3,33,"John",3000,1547
2,6,5,55,"John",2000,1547
1,1,4,29,"Missy",-600,1548
2,5,3,45,"Missy",3000,1548
2,3,4,57,"John",4000,1548
1,4,5,20,"Cathy",1000,1549
2,1,2,41,"Cathy",-2000,1549
2,3,5,51,"Cathy",4000,1549
1,6,4,19,"Julie",-2000,1550
2,6,4,40,"Jeremy",3000,1550
2,5,5,60,"Jeremy",-1400,1550
1,6,4,9,"Josh",-600,1551
2,5,3,51,"Clinton",-1800,1551
2,3,4,54,"Ken",2000,1551
1,1,4,9,"Ken",1800,1552
2,1,2,48,"Ken",1800,1552
2,6,3,58,"Paula",8500,1552
