"name","final","coryat","right","wrong","uid"
"Doug",12999,8500,19,2,501
"David",9799,5500,16,4,501
"Lyn",13001,8400,20,2,501
"Valerie",6400,3200,16,6,502
"John",8000,5100,18,1,502
"Gabriella",199,3400,14,3,502
"David",23999,19800,25,3,503
"Jennifer",0,1400,6,1,503
"Matthew",3000,15400,17,2,503
"John",0,5900,18,4,504
"Don",2799,4300,12,3,504
"Andrew",4799,8100,23,1,504
"Andrew",9001,8000,18,3,505
"Glenda",8000,3800,15,2,505
"Paul",6000,5700,18,6,505
"David",13200,15800,20,3,506
"Sharon",1000,1800,8,5,506
"John",7600,10400,17,2,506
"David",22000,14400,17,0,507
"Michael",19250,10800,15,2,507
"Martha",10800,9400,17,4,507
"Andrew",9200,7600,23,4,508
"Ardwight",111,4000,16,6,508
"Myles",5100,2600,8,1,508
"David",16500,20000,23,3,509
"Eric",2900,4400,13,4,509
"Janet",6000,8000,10,3,509
"David",8200,4100,14,5,510
"Dan",15200,5800,14,4,510
"Andy",14600,7200,21,3,510
"Dan",2000,3700,12,2,511
"Joel",11000,5500,17,3,511
"Mark",7500,9700,22,3,511
"David",13300,7400,11,3,512
"Steve",7799,10000,16,4,512
"Victoria",22801,8400,20,6,512
"Victoria",2999,12200,29,7,513
"Stacey",8399,11400,12,0,513
"Ray",14200,5200,9,2,513
"Joel",0,3700,13,2,514
"Anne",0,5100,10,1,514
"Ed",11401,8200,27,7,514
"Ray",18200,9200,11,2,515
"Mike",30801,16400,19,2,515
"Carol",21074,13400,19,5,515
"Ed",10776,11800,31,3,516
"Kerry",500,4900,13,5,516
"Joel",399,200,8,4,516
"Mike",11599,5600,12,2,517
"Deborah",12300,10200,16,5,517
"Chris",4199,9800,16,4,517
"Steve",700,5000,17,5,518
"Liz",11000,5400,11,1,518
"Jim",0,5500,24,6,518
"Deborah",16000,10600,13,4,519
"Andrew",8600,11800,17,2,519
"Heather",2799,13600,18,2,519
"Liz",4700,4100,13,2,520
"Dave",1399,3800,21,5,520
"Bette",1,3800,9,5,520
"Deborah",3400,9600,16,3,521
"Monica",8000,17000,17,2,521
"Melissa",50,8600,19,4,521
"Liz",8200,5100,16,1,522
"Pete",2000,1500,13,8,522
"Beverly",6100,4500,11,4,522
"Monica",0,2400,7,4,523
"Caleb",2300,1200,11,5,523
"Andy",13000,16200,24,7,523
"Dan",5300,5500,19,8,524
"Bennett",2000,2600,11,1,524
"Richard",0,1300,13,7,524
"Dan",0,2400,18,8,525
"Ann",1599,3700,15,3,525
"Eric",5800,3200,12,3,525
"Liz",4201,5100,14,1,526
"Carol",0,2100,11,1,526
"Robin",9400,10800,26,3,526
"Andy",15800,19800,27,6,527
"Jeanie",1198,1600,15,8,527
"Tom",7200,5200,8,4,527
"Robin",13800,5700,15,2,528
"Anne",6200,4100,10,1,528
"Gary",13801,8800,23,2,528
"Paula",11600,6600,23,3,529
"Guy",4799,5200,14,3,529
"Kate",5399,2700,9,4,529
"Andy",7999,12600,22,2,530
"Mark",16000,8800,16,3,530
"Alison",0,8000,10,2,530
"Paula",14001,7900,21,1,531
"Mark",5100,6100,13,3,531
"Robin",12000,6900,18,1,531
"Mark",4800,12600,22,4,532
"Will",5200,7200,13,3,532
"Elizabeth",6900,12400,13,2,532
"Paula",15500,10700,31,5,533
"Doug",200,2200,9,4,533
"John",2800,1400,7,2,533
"Paula",0,5400,15,1,534
"Brenda",1400,6200,20,2,534
"Michelle",6201,8900,21,2,534
"Elizabeth",3000,6000,8,1,535
"Zeb",674,1400,4,4,535
"Jason",32100,31600,37,0,535
"Michelle",1,4700,16,3,536
"Deborah",0,9500,19,4,536
"Joe",2999,7400,19,1,536
"David",2199,5500,17,2,537
"Chris",0,6300,18,5,537
"Eric",14801,5500,17,4,537
"Jason",23600,17200,17,0,538
"Susan",0,3800,8,5,538
"Thaddeus",8600,7400,18,7,538
"Joe",1000,300,10,5,539
"Elaine",6801,3600,10,0,539
"Richard",10000,11400,28,4,539
"Jason",23100,19800,25,1,540
"Caren",10001,10000,13,4,540
"Justin",5000,5000,10,4,540
"Richard",15000,12000,32,4,541
"Barbara",1400,700,5,2,541
