"name","final","coryat","right","wrong","uid"
"Ryan",29100,14600,19,3,6062
"Justin",22399,10800,19,4,6062
"Michelle",22800,11400,14,3,6062
"Ryan",12000,8800,14,5,6063
"Emily",7998,4000,11,3,6063
"Dave",26200,24400,30,2,6063
"Dave",22600,23200,25,3,6066
"Hollie",9995,5000,10,2,6066
"Neel",11550,11000,18,1,6066
"Mark",700,5600,16,2,6067
"Michael",5100,2600,11,4,6067
"Tim",7799,8300,26,4,6067
"Daniel",2999,5800,17,0,6068
"Catherine",8500,4300,10,0,6068
"Bob",3700,7300,18,0,6068
"Dave",28600,22800,29,2,6069
"Beth",399,200,7,2,6069
"Tara",9000,8200,11,1,6069
"Todd",8598,10500,25,1,6070
"Janet",0,5600,16,2,6070
"Bruce",12201,4300,13,1,6070
"Neil",3100,4100,12,1,6071
"Robin",18401,9500,22,2,6071
"Norman",2,8500,20,1,6071
"Cheryl",8200,8000,19,1,6072
"Harry",0,6400,14,3,6072
"Mary",2000,3600,15,4,6072
"Roger",7801,7100,23,3,6073
"Kay",2900,3700,11,3,6073
"Tom",100,1200,10,5,6073
"Bea",4400,8600,23,3,6074
"Sparky",199,4800,13,5,6074
"Cliff",12799,6200,18,1,6074
"Dave",14400,13800,26,5,6075
"Burt",14401,13800,13,3,6075
"Ron",4399,4400,10,2,6075
"Roger",11799,9800,23,4,6076
"Ira",3600,5100,16,2,6076
"Linda",1,4000,9,2,6076
"Gary",2601,6500,24,6,6077
"Tony",4010,2500,11,4,6077
"Linda",7500,6500,14,0,6077
"Burt",23200,12200,16,1,6078
"Ian",6300,9600,16,3,6078
"Rick",23201,9800,17,2,6078
"Rick",16599,16400,21,4,6079
"Karla",5600,5600,9,0,6079
"Jerry",1399,16400,23,6,6079
"Elizabeth",4500,7400,21,3,6080
"Ingrid",6600,3300,10,3,6080
"Bob",14000,10700,24,1,6080
"Robert",3900,4000,12,3,6081
"Phillip",5000,4800,16,3,6081
"Jennifer",7400,9600,21,2,6081
"Charlie",12000,11400,35,3,6082
"Steve",8500,4300,8,0,6082
"Suze",8800,3400,10,1,6082
"Charlie",6400,4300,19,5,6083
"Henry",800,6100,16,1,6083
