"round","i","name","score","double","uid"
1,1,"Doug",100,FALSE,501
1,2,"David",200,FALSE,501
1,3,"Doug",300,FALSE,501
1,4,"Lyn",400,FALSE,501
1,5,"Lyn",500,FALSE,501
1,6,"Doug",500,FALSE,501
1,7,"Lyn",100,FALSE,501
1,8,"Lyn",400,FALSE,501
1,9,"Doug",300,FALSE,501
1,10,"Doug",100,FALSE,501
1,11,"David",-200,FALSE,501
1,12,"Lyn",300,FALSE,501
1,13,"Lyn",200,FALSE,501
1,14,"Lyn",100,FALSE,501
1,15,"Doug",-300,FALSE,501
1,15,"David",300,FALSE,501
1,16,"David",100,FALSE,501
1,17,"Doug",200,FALSE,501
1,18,"Lyn",300,FALSE,501
1,19,"Lyn",-400,FALSE,501
1,20,"Doug",500,FALSE,501
1,21,"David",400,FALSE,501
1,22,"David",-600,TRUE,501
1,23,"Lyn",400,FALSE,501
1,24,"Doug",500,FALSE,501
1,25,"David",200,FALSE,501
1,26,"Doug",500,FALSE,501
1,27,"David",400,FALSE,501
1,28,"Lyn",300,FALSE,501
1,29,"Lyn",200,FALSE,501
1,30,"David",100,FALSE,501
2,31,"David",200,FALSE,501
2,32,"Lyn",400,FALSE,501
2,33,"Doug",1000,FALSE,501
2,34,"Doug",600,FALSE,501
2,35,"David",800,FALSE,501
2,36,"David",1000,FALSE,501
2,37,"Doug",200,FALSE,501
2,38,"Doug",400,FALSE,501
2,38,"David",-400,FALSE,501
2,39,"Doug",600,FALSE,501
2,40,"Doug",-2000,TRUE,501
2,41,"Lyn",1000,FALSE,501
2,42,"Doug",800,FALSE,501
2,43,"Lyn",600,FALSE,501
2,44,"Doug",600,FALSE,501
2,45,"Doug",400,FALSE,501
2,46,"David",200,FALSE,501
2,47,"David",800,FALSE,501
2,48,"Lyn",1000,FALSE,501
2,49,"Lyn",-400,TRUE,501
2,50,"David",600,FALSE,501
2,51,"Lyn",800,FALSE,501
2,52,"Doug",1000,FALSE,501
2,53,"David",-800,FALSE,501
2,53,"Lyn",800,FALSE,501
2,54,"Lyn",400,FALSE,501
2,55,"David",1000,FALSE,501
2,56,"David",400,FALSE,501
2,57,"Lyn",400,FALSE,501
2,58,"Doug",200,FALSE,501
2,59,"David",200,FALSE,501
2,60,"Lyn",200,FALSE,501
3,61,"Doug",6499,FALSE,501
3,61,"David",4899,FALSE,501
3,61,"Lyn",5001,FALSE,501
1,1,"Gabriella",100,FALSE,502
1,2,"John",100,FALSE,502
1,3,"John",100,FALSE,502
1,4,"Valerie",200,FALSE,502
1,5,"Gabriella",200,FALSE,502
1,6,"Gabriella",200,FALSE,502
1,7,"John",300,FALSE,502
1,10,"Valerie",100,FALSE,502
1,11,"Valerie",300,FALSE,502
1,12,"John",400,FALSE,502
1,13,"John",100,FALSE,502
1,14,"Valerie",500,FALSE,502
1,15,"John",200,FALSE,502
1,16,"Valerie",300,FALSE,502
1,17,"Valerie",400,FALSE,502
1,18,"John",500,FALSE,502
1,19,"Gabriella",100,FALSE,502
1,20,"Gabriella",400,FALSE,502
1,21,"John",500,FALSE,502
1,22,"John",200,FALSE,502
1,23,"John",400,TRUE,502
1,24,"John",400,FALSE,502
1,25,"Valerie",-500,FALSE,502
1,26,"Gabriella",300,FALSE,502
1,27,"Gabriella",100,FALSE,502
1,28,"Gabriella",200,FALSE,502
1,29,"Gabriella",400,FALSE,502
1,30,"Valerie",500,FALSE,502
2,31,"Valerie",200,FALSE,502
2,32,"John",400,FALSE,502
2,32,"Gabriella",-400,FALSE,502
2,33,"Valerie",200,FALSE,502
2,34,"Gabriella",-600,FALSE,502
2,35,"John",200,FALSE,502
2,36,"John",1200,TRUE,502
2,38,"Valerie",-800,FALSE,502
2,38,"John",800,FALSE,502
2,40,"Valerie",200,FALSE,502
2,41,"John",400,FALSE,502
2,42,"Valerie",600,FALSE,502
2,43,"Valerie",800,FALSE,502
2,44,"Valerie",1000,FALSE,502
2,45,"John",400,FALSE,502
2,46,"Valerie",600,FALSE,502
2,47,"Gabriella",800,FALSE,502
2,48,"Gabriella",200,FALSE,502
2,49,"Gabriella",400,FALSE,502
2,50,"Gabriella",600,TRUE,502
2,51,"Gabriella",800,FALSE,502
2,52,"Valerie",-1000,FALSE,502
2,53,"John",200,FALSE,502
2,54,"Gabriella",-400,FALSE,502
2,56,"Valerie",800,FALSE,502
2,57,"Valerie",-1000,FALSE,502
2,58,"Valerie",-1000,FALSE,502
2,59,"Valerie",800,FALSE,502
2,59,"John",-800,FALSE,502
3,60,"Valerie",3200,FALSE,502
3,60,"John",2000,FALSE,502
3,60,"Gabriella",-3201,FALSE,502
1,1,"David",1000,FALSE,503
1,2,"David",800,FALSE,503
1,3,"David",600,FALSE,503
1,4,"David",400,FALSE,503
1,5,"David",200,FALSE,503
1,6,"David",800,FALSE,503
1,7,"David",1000,FALSE,503
1,9,"David",800,FALSE,503
1,10,"Matthew",1000,FALSE,503
1,11,"Jennifer",600,FALSE,503
1,12,"David",400,FALSE,503
1,13,"David",800,FALSE,503
1,15,"Matthew",1000,FALSE,503
1,16,"Matthew",1000,FALSE,503
1,17,"David",600,FALSE,503
1,18,"Matthew",600,FALSE,503
1,19,"David",400,FALSE,503
1,20,"David",1200,TRUE,503
1,21,"Jennifer",200,FALSE,503
1,22,"David",200,FALSE,503
1,24,"David",-1000,FALSE,503
1,25,"David",600,FALSE,503
1,26,"Matthew",400,FALSE,503
1,27,"David",400,FALSE,503
1,28,"David",-200,FALSE,503
1,28,"Matthew",200,FALSE,503
1,29,"Jennifer",200,FALSE,503
2,31,"Matthew",400,FALSE,503
2,33,"Matthew",800,FALSE,503
2,34,"Matthew",-5400,TRUE,503
2,35,"David",1600,FALSE,503
2,36,"David",1600,FALSE,503
2,36,"Jennifer",-400,FALSE,503
2,37,"David",3800,TRUE,503
2,38,"Matthew",1200,FALSE,503
2,39,"David",2000,FALSE,503
2,40,"David",400,FALSE,503
2,41,"Jennifer",-400,FALSE,503
2,42,"David",400,FALSE,503
2,43,"Jennifer",800,FALSE,503
2,45,"David",-400,FALSE,503
2,45,"Jennifer",400,FALSE,503
2,46,"David",800,FALSE,503
2,47,"Matthew",400,FALSE,503
2,48,"Matthew",1200,FALSE,503
2,49,"Matthew",1600,FALSE,503
2,50,"Matthew",2000,FALSE,503
2,51,"Matthew",1200,FALSE,503
2,53,"Matthew",1600,FALSE,503
2,54,"Matthew",-2000,FALSE,503
2,55,"David",1600,FALSE,503
2,56,"Matthew",800,FALSE,503
2,57,"Matthew",2000,FALSE,503
2,59,"David",1200,FALSE,503
3,60,"David",1999,FALSE,503
3,60,"Jennifer",-1400,FALSE,503
3,60,"Matthew",-7000,FALSE,503
1,1,"John",100,FALSE,504
1,2,"Andrew",200,FALSE,504
1,3,"Andrew",300,FALSE,504
1,4,"Andrew",400,FALSE,504
1,5,"Andrew",500,FALSE,504
1,6,"John",100,FALSE,504
1,7,"John",200,FALSE,504
1,7,"Don",200,FALSE,504
1,10,"Andrew",500,FALSE,504
1,11,"Andrew",100,FALSE,504
1,12,"Andrew",200,FALSE,504
1,13,"Andrew",300,FALSE,504
1,15,"Don",500,FALSE,504
1,16,"John",100,FALSE,504
1,17,"Andrew",200,FALSE,504
1,18,"Andrew",300,FALSE,504
1,19,"Don",400,FALSE,504
1,21,"Andrew",100,FALSE,504
1,22,"Andrew",100,FALSE,504
1,23,"John",-200,FALSE,504
1,23,"Don",-200,FALSE,504
1,23,"Andrew",200,FALSE,504
1,24,"John",300,FALSE,504
1,25,"John",400,FALSE,504
1,26,"John",500,TRUE,504
1,27,"Don",200,FALSE,504
1,28,"Andrew",300,FALSE,504
1,29,"Don",400,FALSE,504
2,31,"John",200,FALSE,504
2,32,"Andrew",400,FALSE,504
2,33,"Don",600,FALSE,504
2,34,"John",-200,FALSE,504
