"round","col","row","i","name","score","uid"
1,4,4,12,"Mike",500,6001
2,6,3,57,"Mike",2000,6001
2,1,5,45,"Harvey",1500,6001
1,5,3,4,"Dennis",500,6002
2,3,2,52,"Steve",2000,6002
2,2,4,40,"Steve",-2000,6002
1,5,3,8,"Tommy",1400,6003
2,2,2,34,"Ian",3000,6003
2,1,4,44,"Ian",-4000,6003
1,2,4,14,"Andy",-600,6004
2,2,4,39,"Michelle",2000,6004
2,5,5,59,"Andy",2000,6004
1,1,3,5,"Mirza",1000,6005
2,1,3,33,"Mirza",-2000,6005
2,5,3,51,"David",2400,6005
1,1,5,5,"Richard",-800,6006
2,3,4,55,"Kathrine",-3000,6006
2,4,4,44,"Richard",2000,6006
1,2,3,1,"David",1000,6007
2,5,4,54,"Catherine",3000,6007
2,3,5,43,"Tracey",-2000,6007
1,1,3,10,"John",500,6008
2,5,3,51,"Stuart",2500,6008
2,4,5,40,"Elizabeth",-1200,6008
1,4,5,30,"Catherine",4200,6009
2,2,3,46,"Jason",-1000,6009
2,3,4,36,"Jason",-2000,6009
1,1,4,28,"John",-1000,6010
2,6,2,50,"John",1600,6010
1,2,5,12,"Tony",300,6011
2,2,3,35,"Bob",-500,6011
2,6,4,54,"Bob",-500,6011
1,6,5,13,"Dennis",2300,6012
2,1,4,26,"Harriet",500,6012
2,5,5,33,"Kathryn",1000,6012
1,3,5,19,"Diana",-600,6013
2,5,2,37,"Nick",-4000,6013
2,1,3,53,"Nick",-3000,6013
1,5,3,15,"Diana",1200,6014
2,4,4,39,"Diana",4200,6014
2,6,4,52,"Diana",7000,6014
1,4,2,14,"Diana",500,6015
2,3,3,56,"Diana",-6000,6015
2,1,4,32,"Diana",1500,6015
1,4,4,19,"Sharon",100,6016
2,4,2,47,"Sharon",-1100,6016
2,6,4,40,"Tom",800,6016
1,5,2,24,"Sara",-5400,6017
2,1,2,34,"Deirdre",-2000,6017
2,3,5,57,"Sara",-2800,6017
1,3,4,5,"Mike",500,6018
2,1,3,34,"Mike",1500,6018
2,4,4,47,"Mike",-200,6018
1,2,4,10,"Ali",-3200,6019
2,1,2,45,"Ali",-1800,6019
2,4,3,40,"Jessica",1800,6019
1,1,3,11,"Tom",500,6020
2,4,2,28,"Linda",1400,6020
1,4,5,29,"Bob",-300,6021
2,6,3,42,"Bob",1000,6021
2,4,4,35,"Lorne",1000,6021
1,5,4,10,"Bill",-700,6022
2,3,3,45,"Meg",-600,6022
2,5,3,54,"Meg",800,6022
1,2,4,20,"Ali",-2000,6023
2,3,3,56,"Lindsay",3000,6023
2,6,4,43,"Ali",2000,6023
1,6,3,24,"Ali",3000,6024
2,5,3,48,"Ali",2800,6024
2,3,4,49,"Ali",500,6024
1,3,5,15,"Ali",-1000,6025
2,6,3,44,"Jordan",3800,6025
2,3,5,41,"Ali",-600,6025
1,5,3,20,"Steve",-1000,6026
2,6,4,36,"Steve",900,6026
2,2,5,54,"Stephen",-4800,6026
1,5,4,4,"Jordan",1000,6027
2,2,1,30,"Kelly",2000,6027
2,4,3,38,"Jordan",-2000,6027
1,6,4,23,"Linda",500,6028
2,4,2,51,"Linda",-4300,6028
2,2,3,35,"Neil",1000,6028
1,3,5,24,"Jeff",2000,6029
2,1,5,33,"Andrew",2400,6029
2,4,5,60,"Andrew",6999,6029
1,2,3,25,"Pierre",-400,6030
2,3,4,36,"Pierre",1400,6030
2,1,5,40,"Neil",1200,6030
1,3,5,5,"Matt",1000,6031
2,3,4,59,"Matt",-1000,6031
2,4,4,44,"Lane",1500,6031
1,5,5,20,"Eitan",500,6032
2,3,5,59,"Frank",2000,6032
2,5,5,49,"Frank",-2000,6032
1,2,5,26,"Scott",-2000,6033
2,2,4,31,"Amy",2200,6033
2,3,4,37,"Scott",1000,6033
1,3,4,24,"Scott",1000,6034
2,6,4,54,"Scott",3000,6034
2,3,5,50,"Kat",3000,6034
1,5,5,25,"Nick",-1000,6035
2,6,4,51,"Scott",3000,6035
2,2,5,35,"Scott",3000,6035
1,4,3,17,"Suzanne",1000,6036
2,4,4,54,"Scott",5000,6036
2,5,5,49,"Suzanne",3000,6036
1,5,4,11,"Dave",-2600,6037
2,5,3,56,"Jim",3000,6037
2,2,4,34,"Suzanne",1000,6037
1,3,5,16,"Scott",500,6038
2,3,3,48,"Ramona",3000,6038
2,4,5,51,"Scott",-1000,6038
1,4,4,16,"Kate",1000,6039
2,1,3,45,"Suzanne",3000,6039
2,3,5,54,"Liz",-2000,6039
1,5,5,15,"Suzanne",-1000,6040
2,6,4,56,"Suzanne",-1000,6040
2,5,5,54,"Suzanne",-2000,6040
1,3,3,28,"Lauren",1000,6041
2,3,2,38,"Lauren",2000,6041
2,1,3,34,"Beth",2000,6041
1,3,3,13,"Mark",1000,6042
2,1,4,32,"Mark",2000,6042
2,6,4,57,"Mark",-500,6042
1,5,5,26,"Bill",300,6043
2,1,4,33,"Bill",1200,6043
2,4,4,55,"Robin",-1300,6043
1,1,3,18,"Lauren",800,6044
2,1,3,43,"Lauren",1200,6044
2,2,5,40,"Lauren",-2000,6044
1,3,2,15,"David",600,6045
2,3,3,50,"Lisa",-1000,6045
2,1,4,39,"David",1000,6045
1,6,5,14,"Becky",1000,6046
2,3,2,38,"Doug",2000,6046
2,1,5,35,"Becky",2000,6046
1,2,3,13,"Danny",500,6047
2,4,4,54,"Eric",1000,6047
2,6,4,58,"Eric",-1000,6047
1,6,5,10,"Gary",1200,6048
2,1,4,40,"Bill",-1000,6048
2,4,4,30,"Philis",-200,6048
1,5,5,21,"Wes",2000,6049
2,1,2,49,"Stel",3000,6049
2,5,4,59,"Wes",2000,6049
1,6,5,30,"Richard",2800,6050
1,4,3,17,"Randy",3300,6051
2,3,3,36,"Randy",2400,6051
2,5,4,45,"Maureen",1700,6051
1,2,4,9,"Michelle",-200,6052
2,2,5,33,"Johanna",3800,6052
2,4,5,55,"Johanna",4000,6052
1,3,3,12,"Bryan",1000,6053
2,3,3,58,"Vincent",6800,6053
2,1,4,43,"Michelle",1200,6053
1,1,4,29,"Niraj",-3200,6055
2,3,3,52,"Rebecca",3000,6055
2,5,4,57,"Niraj",-3200,6055
1,2,3,13,"Michelle",800,6057
2,6,2,43,"Bunny",2000,6057
2,1,4,34,"Bunny",2000,6057
1,1,5,5,"Lauren",500,6058
2,5,3,36,"Erhard",1000,6058
2,6,4,57,"Chris",1500,6058
1,1,4,12,"Dean",900,6059
2,1,4,44,"Russ",1700,6059
2,6,4,49,"Russ",3500,6059
1,6,3,28,"Caitlion",-2000,6060
2,1,4,43,"Ryan",-4800,6060
2,2,4,40,"Caitlion",-2200,6060
1,3,4,19,"Justin",800,6062
2,5,2,32,"Justin",1000,6062
2,6,2,45,"Justin",1000,6062
1,1,5,15,"Ryan",-4000,6063
2,4,3,48,"Dave",3000,6063
2,1,4,39,"Ryan",2800,6063
1,2,4,3,"Neel",1000,6066
2,2,3,46,"Dave",-4000,6066
2,1,4,49,"Dave",5000,6066
1,4,5,6,"Tim",-300,6067
2,2,2,39,"Tim",2000,6067
2,1,4,44,"Mark",900,6067
1,6,5,30,"Bob",900,6068
1,3,5,23,"Dave",4000,6069
2,3,3,48,"Tara",2000,6069
2,5,3,37,"Dave",4000,6069
1,3,5,30,"Janet",1000,6070
2,4,3,48,"Bruce",2700,6070
2,3,5,42,"Todd",1200,6070
1,1,3,13,"Norman",1000,6071
2,6,2,45,"Robin",3100,6071
2,3,3,51,"Robin",2000,6071
1,3,2,11,"Mary",500,6072
2,3,4,39,"Cheryl",1000,6072
2,5,5,46,"Harry",2000,6072
1,3,3,22,"Kay",500,6073
2,3,3,31,"Roger",1000,6073
2,2,5,52,"Tom",-1000,6073
1,5,3,8,"Cliff",500,6074
2,1,4,48,"Sparky",-1000,6074
2,2,4,41,"Sparky",800,6074
1,2,2,16,"Burt",1000,6075
2,1,4,39,"Dave",-6600,6075
2,5,5,44,"Burt",-1200,6075
1,5,3,8,"Roger",-100,6076
2,2,4,48,"Ira",-1000,6076
2,6,5,44,"Roger",1000,6076
1,5,5,5,"Gary",-700,6077
2,2,4,58,"Gary",-1800,6077
2,5,5,50,"Gary",-2000,6077
1,2,4,16,"Rick",2000,6078
2,3,3,42,"Rick",3000,6078
2,1,4,55,"Burt",1000,6078
1,2,3,11,"Rick",1600,6079
2,2,3,32,"Jerry",3000,6079
2,3,5,40,"Rick",2000,6079
1,6,4,4,"Elizabeth",500,6080
2,4,3,48,"Bob",1900,6080
2,5,3,53,"Elizabeth",-3500,6080
1,2,4,10,"Jennifer",800,6081
2,1,2,33,"Phillip",800,6081
2,4,3,46,"Jennifer",2000,6081
1,3,3,8,"Steve",500,6082
2,1,4,44,"Suze",1800,6082
2,3,5,57,"Charlie",-500,6082
1,5,4,12,"Dianne",-500,6083
2,1,3,48,"Charlie",-700,6083
2,4,4,46,"Henry",1500,6083
1,3,5,24,"Dan",-1000,6084
2,3,4,40,"Robin",1000,6084
2,2,5,60,"Meg",-800,6084
1,2,2,23,"Jim",800,6086
2,3,3,41,"John",1000,6086
2,6,4,56,"Jim",-1500,6086
1,1,4,8,"John",600,6087
2,4,3,48,"Rob",-1600,6087
2,5,5,33,"Rob",1500,6087
1,2,5,24,"Bill",-800,6088
2,3,5,50,"Gaye",500,6088
2,5,5,55,"Rick",-600,6088
1,4,5,30,"Tom",400,6090
2,3,1,42,"Tom",2000,6090
2,2,4,36,"Tom",2000,6090
1,5,4,14,"Louise",1000,6091
2,1,3,45,"Louise",1000,6091
2,2,4,36,"Tom",1400,6091
1,1,5,5,"Bob",500,6092
2,1,4,28,"Theron",1100,6092
2,6,4,48,"Theron",900,6092
1,2,5,28,"Martha",1000,6093
2,4,3,36,"Richard",-1300,6093
2,2,4,59,"Mag",-3200,6093
1,1,4,29,"Penny",-1000,6094
2,5,4,54,"Diane",-2000,6094
2,2,5,46,"Penny",-2000,6094
1,2,3,19,"Neal",1000,6095
2,1,4,41,"JL",-1000,6095
2,3,4,34,"Andrea",-900,6095
1,3,4,23,"Rick",3000,6096
2,6,2,53,"Isaac",-5000,6096
2,3,3,31,"Isaac",2400,6096
1,2,5,28,"Lori",3000,6097
2,1,3,42,"Lori",3400,6097
2,3,4,57,"Rick",2000,6097
1,2,4,14,"Kyle",1800,6098
2,2,2,32,"Monica",2000,6098
2,5,5,58,"Kyle",1000,6098
1,4,3,23,"Kyle",-2000,6099
2,4,3,51,"Kyle",4000,6099
2,5,4,32,"Shawn",-1600,6099
1,1,5,10,"Judy",-300,6100
2,5,4,44,"Tom",1000,6100
1,2,4,4,"Andrew",1000,6101
2,1,2,33,"Andrew",-3000,6101
2,2,4,44,"Kyle",1000,6101
1,6,4,4,"Kyle",1200,6102
2,4,2,42,"Reese",3200,6102
2,1,3,33,"Christine",-1000,6102
1,2,4,4,"Emily",1000,6103
2,4,2,31,"Kyle",2000,6103
2,5,3,47,"Emily",-4000,6103
1,1,5,22,"Thom",1200,6104
2,2,3,60,"Thom",1500,6104
2,3,4,57,"Robert",-1500,6104
1,5,4,22,"Kyle",1000,6105
2,6,3,46,"Jordan",2000,6105
2,5,4,42,"Kyle",-3000,6105
1,3,5,14,"Kyle",2400,6106
2,5,3,47,"Kyle",-3000,6106
2,3,5,43,"Kyle",4000,6106
1,2,5,7,"Kyle",1000,6107
2,1,4,44,"Rob",3500,6107
2,2,5,36,"Rob",3000,6107
1,5,5,19,"Robert",-800,6108
2,3,4,34,"Dave",-1000,6108
2,2,5,50,"Jean",-800,6108
1,1,4,13,"Robert",400,6109
2,1,4,45,"Jon",-3500,6109
2,4,4,39,"Robert",2000,6109
1,1,4,29,"Nancy",-1200,6110
2,4,3,41,"William",4200,6110
2,6,5,54,"Nancy",2000,6110
1,1,5,25,"Vincent",-1000,6111
2,4,2,47,"Vincent",2000,6111
2,2,3,33,"Vincent",-1200,6111
1,1,5,16,"Evelyn",-1000,6112
2,1,3,33,"Jordan",2600,6112
2,6,3,38,"Jordan",3000,6112
1,1,2,19,"Katie!",-600,6113
2,1,2,42,"Katie!",4200,6113
2,3,2,47,"Michael",3000,6113
1,2,3,29,"Andrew",1800,6114
2,3,4,49,"Andrew",-2000,6114
2,5,5,59,"Evelyn",-2000,6114
2,3,3,53,"Carl",3000,6115
2,5,3,42,"Doug",2000,6115
1,6,4,4,"Cody",1000,6116
2,6,3,45,"Doug",3000,6116
2,5,4,42,"Kirsten",400,6116
1,4,3,25,"Doug",5200,6117
2,3,3,43,"Doug",2000,6117
2,5,3,57,"Maggie",-2000,6117
1,3,5,23,"Sara",2600,6118
2,5,4,51,"Sara",5000,6118
2,6,4,40,"Kian",3000,6118
1,4,5,28,"Adam",3000,6119
2,1,3,43,"Adam",100,6119
2,3,3,36,"Adam",5000,6119
1,2,5,25,"Alex",2000,6120
2,1,3,37,"Adam",4000,6120
2,4,4,44,"Alex",-2000,6120
1,3,4,9,"Alex",1000,6121
2,1,3,49,"Jen",2500,6121
2,5,5,53,"Jen",-4000,6121
1,3,5,5,"Alex",1000,6122
2,2,3,51,"Mary",-2000,6122
2,6,4,53,"Alex",1000,6122
1,4,5,15,"Patrick",-1600,6123
2,3,4,45,"Patrick",4400,6123
2,6,4,42,"Alex",1500,6123
1,1,5,24,"Ryan",-2500,6124
2,2,3,56,"Ryan",-2000,6124
2,4,4,34,"Alan",3000,6124
1,5,3,20,"Alan",-2000,6125
2,2,2,42,"Sarah",2000,6125
2,4,3,48,"Alan",2000,6125
1,5,5,29,"Prairie",-6000,6126
2,3,2,57,"Alan",2000,6126
2,2,5,35,"Alan",-6000,6126
1,6,4,22,"Julie",-2000,6127
2,2,2,41,"Alan",3000,6127
2,5,5,34,"Alan",3000,6127
1,3,4,20,"Alan",2000,6128
2,2,4,46,"Alan",4000,6128
2,6,4,32,"Jessica",3000,6128
1,5,4,27,"Erik",-2000,6129
2,1,3,33,"Herschel",2000,6129
2,6,3,42,"Erik",6000,6129
1,3,2,19,"Joanna",2400,6130
2,2,4,39,"Erik",-3500,6130
2,6,4,45,"Erik",500,6130
1,1,5,15,"Traci",-3000,6131
2,3,4,50,"Traci",4000,6131
2,5,5,40,"Erik",6000,6131
1,5,5,25,"Rock",600,6132
2,5,3,55,"Hannah",1500,6132
2,1,4,32,"Rock",-400,6132
1,3,3,19,"Dhruv",1000,6133
2,1,2,43,"Hannah",1200,6133
2,6,3,39,"Hannah",-2800,6133
1,3,5,16,"Dhruv",1000,6134
2,4,4,39,"Todd",-1000,6134
2,2,5,48,"Tori",-2000,6134
1,4,4,15,"Tori",800,6135
2,3,3,38,"Soyia",2000,6135
2,2,5,56,"Tori",2000,6135
1,3,5,10,"Allen",1000,6136
2,1,4,42,"Allen",3500,6136
2,2,4,31,"Emily",2000,6136
1,5,3,23,"Emily",-1400,6137
2,3,3,37,"Emily",2000,6137
2,4,3,42,"Emily",4000,6137
1,5,3,28,"Emily",800,6138
2,1,2,45,"Emily",1000,6138
2,5,4,40,"Jeff",-4600,6138
1,6,3,22,"Jonathan",-1200,6139
2,1,4,40,"Laura",-2000,6139
2,3,4,54,"Jonathan",3000,6139
1,5,3,26,"Mary Ann",3000,6140
2,3,4,52,"Mary Ann",1000,6140
2,5,5,48,"Gerald",-7400,6140
1,4,5,27,"Mary Ann",-2000,6141
2,3,4,49,"Mary Ann",3000,6141
2,4,4,53,"Mary Ann",4000,6141
1,4,2,5,"Anish",600,6142
2,2,4,37,"Anish",-3000,6142
2,6,5,51,"Emma",2000,6142
1,1,4,2,"Caleb",1000,6143
2,3,4,42,"Rotimi",-1400,6143
2,6,4,46,"Caleb",-3000,6143
1,4,3,6,"Dan",200,6144
2,1,3,42,"Claire",2000,6144
2,2,4,38,"Dan",2000,6144
1,2,4,20,"Tim",-1800,6145
2,3,2,31,"Tim",2200,6145
2,5,5,51,"Tim",3000,6145
1,3,5,21,"Maggie",1500,6146
2,6,3,33,"Autumn",-2200,6146
2,1,4,50,"Autumn",800,6146
1,3,3,2,"Tim",1000,6147
2,3,3,50,"Claire",1000,6147
2,2,4,57,"Autumn",1600,6147
1,5,4,3,"Jack",1400,6148
2,4,3,34,"Caleb",-2000,6148
2,2,4,40,"Jack",-6000,6148
1,4,5,24,"Emma",2000,6149
2,2,2,40,"Emma",2000,6149
2,5,5,49,"Audrey",3000,6149
1,3,3,4,"Maya",600,6150
2,1,2,32,"Claire",2000,6150
2,4,3,53,"Claire",3000,6150
1,6,4,26,"Casey",-1200,6152
2,2,2,58,"Casey",-7000,6152
2,1,3,51,"Mary Ann",3000,6152
1,1,5,30,"Rachael",-800,6153
2,4,3,43,"Jim",-2000,6153
2,1,4,35,"Denise",1000,6153
2,6,3,37,"Eileen",1000,6154
2,3,5,51,"Greg",1500,6154
1,1,3,21,"Terrie",1000,6155
2,3,3,48,"Mary Ann",4000,6155
2,1,4,35,"Terrie",-2600,6155
1,4,4,29,"J",1000,6156
2,3,3,38,"J",4000,6156
2,4,3,46,"J",4000,6156
1,4,4,17,"Dylan",1000,6157
2,3,2,40,"Dylan",4400,6157
2,5,3,46,"Bridget",-3000,6157
1,4,3,13,"Dylan",3200,6158
2,1,3,33,"Carol",2000,6158
2,4,3,43,"Myra",-2200,6158
1,6,4,19,"Adriana",3000,6159
2,5,3,35,"Adriana",3000,6159
2,2,4,42,"Adriana",3000,6159
1,5,5,27,"Adriana",2500,6160
2,2,2,32,"Adriana",3500,6160
2,6,4,44,"Chris",3400,6160
1,2,2,8,"Adriana",800,6161
2,1,3,32,"Elizabeth",-3000,6161
2,6,3,53,"Elizabeth",3000,6161
1,1,5,21,"Elizabeth",4000,6162
2,3,2,35,"Elizabeth",4000,6162
2,5,3,46,"Bernadette",-2000,6162
1,5,5,4,"Dave",1000,6163
2,4,3,30,"Alexander",800,6163
2,3,4,39,"Alexander",2000,6163
1,2,2,10,"Dave",500,6164
2,2,2,31,"Dave",3200,6164
2,6,4,51,"Brian",-7000,6164
1,2,3,2,"Samir",1000,6165
2,3,3,44,"Dave",3000,6165
2,6,3,51,"Dave",2600,6165
1,2,4,7,"Nick",-200,6166
2,2,4,38,"Staci",2000,6166
2,5,5,50,"Nick",6000,6166
1,3,5,5,"Staci",-1200,6167
2,2,3,47,"Swetha",1000,6167
2,4,5,57,"Swetha",-4000,6167
1,4,4,30,"Francesco",-2400,6168
2,1,3,43,"John",-3000,6168
2,2,5,40,"John",2500,6168
1,5,4,7,"Andy",1000,6169
2,3,2,57,"Elana",7000,6169
2,2,3,35,"Andy",4600,6169
1,2,4,9,"Faris",-3200,6170
2,1,4,54,"Mary Kate",-800,6170
2,3,5,44,"Faris",2000,6170
1,4,5,3,"Faris",800,6171
2,4,3,33,"Jackie",3000,6171
2,1,4,44,"Faris",-2000,6171
1,5,2,15,"Jackie",-3000,6172
