"round","col","row","i","name","score","uid"
1,5,3,23,"Ken",4000,1
2,1,3,58,"Ken",4800,1
2,2,3,33,"Ken",-5000,1
1,5,5,30,"Rich",3000,2
2,3,3,53,"Ken",3800,2
2,5,5,45,"Bob",4200,2
1,3,3,23,"Ken",4200,3
2,3,5,36,"Laura",1000,3
2,6,5,50,"Ken",5600,3
1,5,4,14,"Ken",-2100,4
2,3,4,34,"Ken",4500,4
2,6,4,44,"Ken",-5800,4
1,5,4,24,"Ken",3000,5
2,1,4,51,"Ken",5200,5
2,3,5,40,"Ken",-5800,5
1,1,5,15,"Ken",2200,6
2,4,3,34,"Bruce",-3000,6
2,1,4,50,"Ken",7000,6
1,1,3,18,"Kate",-1400,7
2,3,4,54,"Ken",3400,7
2,5,4,39,"Ken",4000,7
1,6,4,28,"David",-2000,8
2,1,3,43,"Cara",-1500,8
2,2,4,39,"Ken",8400,8
1,2,4,29,"Ken",1400,9
2,4,3,48,"John",2200,9
2,6,5,40,"Ken",4600,9
1,2,4,15,"Ken",2000,10
2,2,5,48,"Ken",5200,10
2,3,5,51,"Ken",-2200,10
1,4,4,9,"Sam",-500,11
2,1,4,57,"Arthur",600,11
2,3,5,59,"Arthur",-1000,11
1,5,4,29,"Seth",-2100,12
2,3,3,33,"Seth",-600,12
2,1,5,50,"Tom",-2000,12
1,2,5,21,"Vinita",-1000,13
2,1,3,40,"Vinita",2000,13
2,5,4,49,"Renzo",-3000,13
1,5,5,15,"Tom",2600,14
2,1,3,33,"Chris",-3200,14
2,6,4,59,"Tom",-2600,14
1,5,3,8,"Sean",400,15
2,1,2,32,"Anne",-2000,15
2,5,4,45,"Sean",-400,15
1,3,5,5,"Vinita",1000,16
2,4,3,51,"Russ",-3500,16
2,6,5,48,"Vinita",800,16
1,3,4,24,"Anne",-500,17
2,1,3,39,"Anne",1000,17
2,5,3,48,"Chris",-1000,17
1,6,5,5,"Arthur",1000,18
2,5,3,37,"Arthur",1200,18
2,3,5,49,"Tom",6000,18
1,1,5,5,"Arthur",-1000,19
2,1,2,47,"Tom",1500,19
2,3,3,33,"Tom",400,19
1,1,4,4,"Jeff",-200,21
2,1,4,47,"Ken",-1700,21
2,6,4,35,"Ken",5400,21
1,3,5,9,"Jay",1000,22
2,2,3,58,"Ken",2200,22
2,1,5,45,"Ken",800,22
1,6,4,27,"Ken",3600,23
2,1,3,33,"Ken",4600,23
2,3,4,44,"Ken",12000,23
1,1,4,29,"Steve",2400,24
2,4,3,58,"Ken",1800,24
2,6,3,43,"Ken",6400,24
1,3,3,18,"Ken",3800,25
2,3,4,55,"Ken",2600,25
2,5,4,59,"Ken",6000,25
1,6,5,5,"Ken",1000,26
2,3,4,49,"Tristan",-2000,26
2,4,4,59,"Sunny",1000,26
1,3,5,22,"Ken",-2800,27
2,1,4,44,"Marcy",-1000,27
2,4,4,49,"Ken",3200,27
1,6,5,6,"Ken",1600,28
2,3,4,32,"Marielle",4000,28
2,5,5,53,"Ken",6000,28
1,3,4,14,"Ken",2100,29
2,4,3,58,"K.C.",2000,29
2,5,3,48,"Ken",2300,29
1,4,4,24,"Ken",3000,30
2,5,3,53,"Josh",3000,30
2,3,5,45,"Ken",5000,30
1,1,5,5,"Kelly",-400,31
2,1,4,35,"Kelly",2000,31
1,4,4,6,"Nithya",1000,32
2,4,4,49,"Emily",400,32
2,6,5,60,"Nithya",-100,32
1,5,2,27,"Tamika",-300,33
2,1,3,31,"Josh",-1000,33
2,3,4,57,"Tamika",-700,33
1,6,4,28,"Alex",500,34
2,1,4,57,"Edward",-3200,34
2,3,4,42,"Edward",-1400,34
1,1,4,5,"Theodora",600,35
1,4,5,5,"Ken",2000,36
2,6,3,43,"Nathan",2500,36
2,2,5,58,"Ken",-1600,36
1,3,3,13,"Mary",600,37
2,4,4,34,"Ken",400,37
2,3,5,55,"Ken",4000,37
1,1,5,5,"Adam",1000,38
2,5,3,56,"Merritt",5000,38
2,3,5,41,"Ken",5000,38
1,2,4,24,"Lori",-1200,39
2,1,2,52,"Ken",7800,39
2,3,3,48,"Ken",-1600,39
1,3,4,9,"Ken",-2000,40
2,6,4,54,"Ken",2600,40
2,4,5,35,"Sandy",2000,40
1,1,4,12,"Ken",-1600,41
2,1,3,48,"Ken",3200,41
2,4,5,59,"Ken",2800,41
1,4,4,4,"Ken",1000,42
2,4,4,55,"Ken",4800,42
2,3,5,53,"Ken",4400,42
1,4,5,5,"Jerry",1000,43
2,6,3,40,"Ken",7800,43
2,4,4,52,"Ken",7800,43
1,6,3,3,"Ken",1000,44
2,5,3,38,"Ken",5200,44
2,4,4,44,"Ken",4000,44
1,4,5,30,"Ken",-2000,45
2,1,4,34,"Ken",3000,45
2,4,5,45,"Ken",3600,45
1,6,3,13,"Ken",2000,46
2,1,3,57,"Ken",-5200,46
2,3,3,49,"Robert",-1000,46
1,5,4,25,"Jeff",3000,47
2,1,4,34,"Ken",4000,47
2,6,5,55,"Dave",-10000,47
