"game","show","date"
501,2948,1997-05-28
502,1289,1990-03-22
503,4827,2005-09-13
504,1290,1990-03-23
505,1291,1990-03-26
506,4828,2005-09-14
507,4829,2005-09-15
508,1294,1990-03-29
509,4830,2005-09-16
510,1295,1990-03-30
511,1296,1990-04-02
512,4831,2005-09-19
513,4832,2005-09-20
514,1300,1990-04-06
515,4833,2005-09-21
516,1302,1990-04-10
517,4834,2005-09-22
518,1307,1990-04-17
519,4835,2005-09-23
520,1308,1990-04-18
521,4836,2005-09-26
522,1309,1990-04-19
523,4837,2005-09-27
524,1525,1991-03-29
525,1526,1991-04-01
526,1311,1990-04-23
527,4838,2005-09-28
528,1312,1990-04-24
529,1317,1990-05-01
530,4839,2005-09-29
531,1318,1990-05-02
532,4840,2005-09-30
533,1319,1990-05-03
534,1320,1990-05-04
535,4841,2005-10-03
536,1331,1990-05-21
537,3270,1998-11-20
538,4842,2005-10-04
539,1332,1990-05-22
540,4843,2005-10-05
541,1333,1990-05-23
542,4844,2005-10-06
543,1339,1990-05-31
544,4845,2005-10-07
545,1340,1990-06-01
546,4078,2002-05-01
547,2669,1996-03-21
548,4080,2002-05-03
549,4081,2002-05-06
550,4846,2005-10-10
551,2670,1996-03-22
552,4847,2005-10-11
553,4082,2002-05-07
554,2672,1996-03-26
555,4848,2005-10-12
556,2677,1996-04-02
557,4083,2002-05-08
558,4849,2005-10-13
559,2679,1996-04-04
560,4084,2002-05-09
561,4085,2002-05-10
562,2680,1996-04-05
563,4850,2005-10-14
564,2619,1996-01-11
565,4086,2002-05-13
567,4851,2005-10-17
568,2620,1996-01-12
569,4852,2005-10-18
570,2622,1996-01-16
571,4853,2005-10-19
572,2623,1996-01-17
573,4854,2005-10-20
574,2624,1996-01-18
575,4855,2005-10-21
576,2625,1996-01-19
577,2627,1996-01-23
578,4856,2005-10-24
579,4857,2005-10-25
580,2628,1996-01-24
581,4858,2005-10-26
582,2629,1996-01-25
583,4859,2005-10-27
584,2823,1996-12-04
585,4860,2005-10-28
586,2824,1996-12-05
587,2825,1996-12-06
588,4861,2005-10-31
589,2826,1996-12-09
590,4862,2005-11-01
591,2827,1996-12-10
592,4863,2005-11-02
593,2828,1996-12-11
594,4864,2005-11-03
595,4865,2005-11-04
596,2829,1996-12-12
597,2830,1996-12-13
598,4866,2005-11-07
599,4867,2005-11-08
600,2831,1996-12-16
601,4868,2005-11-09
602,2832,1996-12-17
603,4869,2005-11-10
604,2833,1996-12-18
605,4870,2005-11-11
606,2834,1996-12-19
607,2835,1996-12-20
608,4871,2005-11-14
609,2836,1996-12-23
610,4872,2005-11-15
611,2837,1996-12-24
612,2838,1996-12-25
613,4874,2005-11-17
614,3142,1998-04-07
615,4873,2005-11-16
617,2839,1996-12-26
618,2840,1996-12-27
619,2841,1996-12-30
620,4876,2005-11-21
621,2842,1996-12-31
622,2843,1997-01-01
623,4877,2005-11-22
624,2844,1997-01-02
625,4878,2005-11-23
626,509,1986-11-20
627,4879,2005-11-24
628,2845,1997-01-03
630,4880,2005-11-25
631,2846,1997-01-06
632,2847,1997-01-07
633,2849,1997-01-09
634,4881,2005-11-28
635,2851,1997-01-13
636,2852,1997-01-14
637,4882,2005-11-29
638,2853,1997-01-15
639,4883,2005-11-30
640,2854,1997-01-16
641,4884,2005-12-01
642,2855,1997-01-17
643,4885,2005-12-02
644,2856,1997-01-20
645,2857,1997-01-21
646,4886,2005-12-05
647,2858,1997-01-22
648,4887,2005-12-06
649,2860,1997-01-24
650,2861,1997-01-27
651,4888,2005-12-07
652,2862,1997-01-28
653,4889,2005-12-08
654,2863,1997-01-29
655,4890,2005-12-09
656,2865,1997-01-31
657,2866,1997-02-03
658,4891,2005-12-12
659,2867,1997-02-04
660,2868,1997-02-05
661,4892,2005-12-13
662,4893,2005-12-14
663,2869,1997-02-06
664,2870,1997-02-07
665,4894,2005-12-15
666,4895,2005-12-16
667,2871,1997-02-10
668,2872,1997-02-11
669,4896,2005-12-19
670,2873,1997-02-12
671,4897,2005-12-20
672,2874,1997-02-13
674,4898,2005-12-21
675,4899,2005-12-22
676,4900,2005-12-23
677,2879,1997-02-20
678,2880,1997-02-21
679,4901,2005-12-26
680,2881,1997-02-24
681,4902,2005-12-27
682,2882,1997-02-25
683,4903,2005-12-28
684,2883,1997-02-26
686,4904,2005-12-29
687,4905,2005-12-30
688,2884,1997-02-27
689,2885,1997-02-28
690,4906,2006-01-02
691,4907,2006-01-03
692,2886,1997-03-03
693,2889,1997-03-06
694,4908,2006-01-04
695,1421,1990-11-05
696,2890,1997-03-07
697,4909,2006-01-05
698,2891,1997-03-10
699,4910,2006-01-06
700,2995,1997-09-12
701,2996,1997-09-15
702,2997,1997-09-16
703,4911,2006-01-09
704,2998,1997-09-17
705,4912,2006-01-10
706,2999,1997-09-18
707,4913,2006-01-11
708,3001,1997-09-22
709,1423,1990-11-07
710,3002,1997-09-23
711,4914,2006-01-12
712,1424,1990-11-08
713,3003,1997-09-24
714,4915,2006-01-13
715,1425,1990-11-09
716,3004,1997-09-25
717,3900,2001-07-13
718,2953,1997-06-04
719,2954,1997-06-05
720,4916,2006-01-16
721,2955,1997-06-06
722,4917,2006-01-17
723,2956,1997-06-09
724,1426,1990-11-12
725,2958,1997-06-11
726,4918,2006-01-18
727,2150,1993-12-31
728,1427,1990-11-13
729,2959,1997-06-12
730,4919,2006-01-19
731,1428,1990-11-14
732,2960,1997-06-13
733,4920,2006-01-20
734,2961,1997-06-16
735,2962,1997-06-17
736,1429,1990-11-15
738,2963,1997-06-18
739,2964,1997-06-19
740,4921,2006-01-23
741,4922,2006-01-24
742,1422,1990-11-06
743,4923,2006-01-25
744,2965,1997-06-20
745,2966,1997-06-23
746,4924,2006-01-26
747,2967,1997-06-24
748,4925,2006-01-27
749,2968,1997-06-25
750,2969,1997-06-26
751,2970,1997-06-27
752,4926,2006-01-30
753,4927,2006-01-31
754,2971,1997-06-30
755,2972,1997-07-01
756,4928,2006-02-01
757,2973,1997-07-02
758,4929,2006-02-02
759,2974,1997-07-03
760,4930,2006-02-03
761,2975,1997-07-04
762,2976,1997-07-07
763,1791,1992-05-18
764,1792,1992-05-19
765,4931,2006-02-06
766,2977,1997-07-08
767,4932,2006-02-07
768,2978,1997-07-09
769,4933,2006-02-08
770,2038,1993-06-16
771,2979,1997-07-10
772,4934,2006-02-09
773,2980,1997-07-11
774,4935,2006-02-10
775,2981,1997-07-14
776,2982,1997-07-15
777,2983,1997-07-16
778,4936,2006-02-13
779,4937,2006-02-14
780,2984,1997-07-17
781,2949,1997-05-29
782,4938,2006-02-15
783,2950,1997-05-30
784,4939,2006-02-16
785,2951,1997-06-02
786,2952,1997-06-03
789,2947,1997-05-27
790,3215,1998-07-17
791,4941,2006-02-20
792,3217,1998-09-08
793,3218,1998-09-09
794,4942,2006-02-21
795,3219,1998-09-10
796,4943,2006-02-22
797,3220,1998-09-11
798,3221,1998-09-14
799,4944,2006-02-23
800,1793,1992-05-20
801,1794,1992-05-21
802,1795,1992-05-22
803,3222,1998-09-15
804,4945,2006-02-24
805,3223,1998-09-16
806,3224,1998-09-17
807,3225,1998-09-18
808,4946,2006-02-27
809,4947,2006-02-28
810,3226,1998-09-21
811,4948,2006-03-01
